nを切り捨てながらn2分の一にする	n //= n2
タプルとタプルを連結する	aTuple + aTuple2
option: マーカーの色をピーチパフにする	markerfacecolor = 'peachpuff'
折れ線グラフを半透明にする	plt.plot(データ列x, データ列y, alpha=0.5)
ヒストグラムの色を淡いピンク色に設定する	plt.hist(データ列, color='lightpink')
JSON形式の文字列をデータに変換する	json.loads(jsonString)
ヒストグラムの色を暗い赤に設定する	plt.hist(データ列, color='darkred')
データフレームのカラムの最頻値を求める	mode, count = scipy.stats.mode(df['列A'])
ゼロ埋めされた複素数型の配列	np.zeros(要素数, dtype=bool)
棒グラフの色をベージュにする	plt.bar(データ列x, データ列y, color='beige')
棒グラフをマルーン色で描画する	plt.bar(データ列x, データ列y, color='maroon')
option: マーカーの色をマゼンタにする	markerfacecolor = 'magenta'
n番目の列を除いたデータフレーム	pd.concat([df[df.columns[:n]], df[df.columns[n+1:]]], axis=1)
データシリーズが正規分布からどの程度、歪んでいるか見る	ds.kurt()
文字列を置き換える	s.replace(sub, newsub)
ダークグリーン色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='darkgreen')
棒グラフをハニーデュー色で描画する	plt.bar(データ列x, データ列y, color='honeydew')
日付時刻データにn分分、加算する	aDatetime + datetime.timedelta(minutes=n)
option: グラフの色をミディアムスプリンググリーンに設定する	color = 'mediumspringgreen'
ヒストグラムをオールドレース色で描画する	plt.hist(データ列, color='oldlace')
リストとリストについての散布図に赤い右三角マーカーを描画する	plt.plot(データ列x, データ列y, marker='>', c='r')
データフレームの欠損値を最頻値に設定する	df.fillna(df.mode().iloc[0])
二次元リストを転置する	[list(x) for x in list(zip(*aList))]
エクセルファイルから全てのシートを読み込む	pd.read_excel('file.xlsx', sheet_name=None)
データシリーズをデータフレームの日付インデックスにする	df.index = pd.DatetimeIndex(pd.to_datetime(ds))
文字列から部分文字列を全て取り除く	s.replace(sub, '')
二つのデータフレームを横方向にマージする	pd.merge(df, df2)
ヒストグラムと勾配ブースティングでクラス分類を行う	model = sklearn.ensemble.HistGradientBoostingClassifier()
横棒グラフをフォレストグリーン色で描画する	plt.barh(データ列x, データ列y, color='forestgreen')
棒グラフの色をライムにする	plt.bar(データ列x, データ列y, color='lime')
両端キューが空か調べる	len(deq) == 0
データフレームの選択したカラムの欠損値を直前の値に設定する	df[['列A', '列B']].fillna(method='ffill')
全要素が初期値の行列	np.full((行数, 列数), 初期値, dtype=np.int)
ダークオリーブグリーン色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='darkolivegreen')
文字列のケースを入れ替える	s.swapcase()
文字列が全て大文字か調べる	s.isupper()
両端キューの最大長	deq.maxlen
配列のユニークな要素とその個数	u, counts = np.unique(aArray, return_counts=True)
グラフ中の(x,y)の位置に凡例を表示する	plt.legend(loc=(x, y))
ライトスカイブルー色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='lightskyblue')
折れ線グラフの大バツマーカーを青くする	plt.plot(データ列x, データ列y, marker='X', markerfacecolor='b')
集合から要素を取り除く	aSet.remove(element)
指定した列のカテゴリで集計し、それぞれの個数を求める	df.groupby('列A').count()
データフレームの平均値	df.mean()
データ列からユニークな要素を抽出し、リスト化する	ds.unique().tolist()
横棒グラフをハニーデュー色で描画する	plt.barh(データ列x, データ列y, color='honeydew')
option: ライトシアン色を使う	color = 'lightcyan'
ドジャーブルー色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='dodgerblue')
折れ線グラフの下三角マーカーの色を変更する	plt.plot(データ列x, データ列y, marker='v', markerfacecolor='#800080')
平均線付き箱ひげ図を描画する	plt.boxplot(データ列, meanline=True)
グラフにx=0の点線を付ける	plt.axvline(x=0, linestyle='dotted')
ライトイエロー色のヒストグラムを描画する	plt.hist(データ列, color='lightyellow')
整数nをバイト列に変換する	n.to_bytes(length=bytesize, byteorder='big')
データフレームをグループ化し、それぞれの合計を求める	df.groupby('列A').sum()
多次元データをt-SNEで濃く次元に次元削減する	sklearn.manifold.TSNE(n_components=二).fit_transform(多次元データ)
データシリーズの時	ds.dt.hour
縦軸の最大・最小を変更する	plt.ylim(最小値, 最大値)
文字列の中でASCII限定として正規表現にマッチした全ての文字列をリストに変換する	re.findall(pattern, s, flags=re.ASCI)
棒グラフの色をライトスレイグレーにする	plt.bar(データ列x, データ列y, color='lightslategray')
データフレームの指定したカラムのパーセンタイル	df['列A'].quantile(パーセント/100)
両端キューを空にする	deq.clear()
折れ線グラフをライトグリーン色で描画する	plt.plot(データ列x, データ列y, color='lightseagreen')
ダークオーキッド色の散布図を描画する	plt.scatter(データ列x, データ列y, color='darkorchid')
横軸の目盛の表示を変更する	plt.xticks(目盛りの値リスト)
option: マーカーの色をミディアムブルーにする	markerfacecolor = 'mediumblue'
ミディアムアクアマリン色の散布図を描画する	plt.scatter(データ列x, データ列y, color='mediumaquamarine')
列名を指定して二つのデータフレームを右ジョインする	pd.merge(df, df2, on='列A', how='right')
データフレームの選択したカラムの値が欠損値か調べる	df[['列A', '列B']].isna()
ミディアムオーキッド色の散布図を描画する	plt.scatter(データ列x, データ列y, color='mediumorchid')
横棒グラフの色をスチールブルーにする	plt.barh(データ列x, データ列y, color='steelblue')
散布図をデピンク色で描画する	plt.scatter(データ列x, データ列y, color='deeppink')
イエローグリーン色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='yellowgreen')
formatパターンの文字列を日付時刻に変換する	datetime.datetime.strptime(日付の書かれた文字列, format)
折れ線グラフの左三角マーカーの大きさを変更する	plt.plot(データ列x, データ列y, marker='<', markersize=2.0)
オーキッド色の散布図を描画する	plt.scatter(データ列x, データ列y, color='orchid')
紺碧色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='azure')
リストとリストについて散布図を描画して、マーカーを三角に設定する	plt.plot(データ列x, データ列y, marker='^')
ネイビー色のヒストグラムを描画する	plt.hist(データ列, color='navy')
散布図の色をダークオリーブグリーンにする	plt.scatter(データ列x, データ列y, color='darkolivegreen')
プラットホームがWindowsか調べる	sys.platform.startswith('win32')
データフレームのヒストグラムを横に並べて、可視化する	sns.displot(df, x='列名', col='カテゴリ名')
nから無限にカウントアップする	itertools.count(start=n)
データフレームの選択したカラムの欠損値を平均値に設定する	df[['列A', '列B']].fillna(df[['列A', '列B']].mean())
折れ線グラフの色をライトスレイグレーに設定する	plt.plot(データ列x, データ列y, color='lightslategrey')
棒グラフをグリーン色で描画する	plt.bar(データ列x, データ列y, color='green')
折れ線グラフを青緑色で描画する	plt.plot(データ列x, データ列y, color='teal')
日付時刻データと日付時刻データの時間差を秒数で求める	(aDatetime - aDatetime2).total_seconds()//60
データフレームのカラムの尖度を求める	scipy.stats.kurtosis(df['列A'], bias=False)
データフレームをグループ化し、それぞれの個数を求める	df.groupby('列A').count()
横棒グラフをダークグレー色で描画する	plt.barh(データ列x, データ列y, color='darkgrey')
黒い星マーカーで散布図を描画する	plt.plot(データ列x, データ列y, marker='*', c='k')
横棒グラフをライトスカイブルー色で描画する	plt.barh(データ列x, データ列y, color='lightskyblue')
ファイルを書き込みモードでオープンして]、fとする	f = open(filepath, mode='w')
nをn2だけ増加させる	n += n2
散布図をオレンジレッド色で描画する	plt.scatter(データ列x, データ列y, color='orangered')
横棒グラフをミディアムパープル色で描画する	plt.barh(データ列x, データ列y, color='mediumpurple')
棒グラフをダークカーキ色で描画する	plt.bar(データ列x, データ列y, color='darkkhaki')
横棒グラフの色をライムグリーンにする	plt.barh(データ列x, データ列y, color='limegreen')
モデルの当てはめを実行する	model.fit(説明変数, 目的変数)
横棒グラフの色をスラグレーにする	plt.barh(データ列x, データ列y, color='slategrey')
グラフにグリッド線を入れる	plt.grid(True)
乱数で要素を埋めた配列	np.random.random(N)
リストを反転する	reversed(aList)
日付データをn時間前に戻す	aDate - datetime.timedelta(hours=n)
横棒グラフをプラム色で描画する	plt.barh(データ列x, データ列y, color='plum')
predicateFuncが真となるイテラブルの要素	itertools.dropwhile(predicateFunc, iterable)
データフレームの末尾10行を抽出する	df.tail(10)
散布図の色をダークバイオレットにする	plt.scatter(データ列x, データ列y, color='darkviolet')
ヒストグラムを実線で描画する	plt.hist(データ列, linestyle='solid')
折れ線グラフに丸マーカーを使う	plt.plot(データ列x, データ列y, marker='o')
データフレームからランダムに5行を抽出する	df.sample(5)
データフレームのあるカラムの日	df['列A'].dt.day
リストとリストについて散布図を描画して、下三角マーカーの色をrgbに設定する	plt.plot(データ列x, データ列y, marker='v', c=rgb)
辞書に辞書の項目を更新する	aDict.update(aDict2)
棒グラフをブランチドアーモンド色で描画する	plt.bar(データ列x, データ列y, color='blanchedalmond')
棒グラフの色をブラックにする	plt.bar(データ列x, データ列y, color='black')
year年month月day日hour時の日付時刻	datetime.datetime(year=year, month=month, day=day, hour=hour)
オブジェクトは論理値クラスか調べる	isinstance(obj, bool)
イテラブルの長さを制限する	collections.deque(iterable, maxlen=n)
逆順の両端キュー	reversed(deq)
グラフのカラーパレットをパステル調にする	sns.set(pallete='pastel')
棒グラフの色をダークシアンにする	plt.bar(データ列x, データ列y, color='darkcyan')
option: エラーがあるとき、例外を発生させるように設定する	errors = 'strict'
グラフの凡例を表示する	plt.legend()
文字列中から正規表現に大文字・小文字を無視してマッチする文字列を探す	re.search(pattern, s, flags=re.IGNORECASE)
白色の散布図を描画する	plt.scatter(データ列x, データ列y, color='white')
option: グラフの色をディムグレーに設定する	color = 'dimgrey'
ヒストグラムの色をモカシンに設定する	plt.hist(データ列, color='moccasin')
点線でデータ列の推移を描画する	plt.plot(データ列x, データ列y, linestyle='dotted')
ファイルのファイル名	os.path.basename(filepath)
データフレームの尖度	df.skew()
グラフの描画で暗くカラーパレットを使う	sns.set(pallete='dark')
大バツマーカーで散布図を描画する	plt.plot(データ列x, データ列y, marker='X')
文字列を空白で区切って、文字列リストに変換する	s.split()
ライトグリーン色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='lightgreen')
リストとリストについての散布図に赤い三角マーカーを描画する	plt.plot(データ列x, データ列y, marker='^', c='r')
トマト色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='tomato')
ミディアムシアグリーン色の散布図を描画する	plt.scatter(データ列x, データ列y, color='mediumseagreen')
本日の日付時刻	datetime.datetime.now()
option: グラフの色をライトグリーンに設定する	color = 'lightgreen'
option: グラフの種類を破線に設定する	linestyle = 'dashed'
文字列を走査し、正規表現にASCII限定としてマッチするか見る	re.search(pattern, s, flags=re.ASCI)
日付データが何月か知る	aDate.month
ファイルからバイナリ書き込みストリームをオープンして]、fとする	f = open(filepath, mode='wb')
データフレームの列のユニークな値の個数	df[col].nunique()
nがn2未満、またはn3以上か調べる	n < n2 or n >= n3
辞書のキーの値	aDict[key]
フローラルホワイト色の線グラフを描画する	plt.plot(データ列x, データ列y, color='floralwhite')
ヒストグラムの色をオレンジレッドに設定する	plt.hist(データ列, color='orangered')
折れ線グラフの色を赤に設定する	plt.plot(データ列x, データ列y, color='red')
文字列の中のASCII限定として正規表現による全てのマッチを使う	re.findall(pattern, s, flags=re.ASCI)
JSONLファイルを読み込む	pd.read_json(filename, orient='records', lines=True)
エクセルファイルをデータフレームとして読み込む	pd.read_excel('file.xlsx')
日付データが何曜日か知る	aDate.weekday()
横棒グラフの色をマゼンタにする	plt.barh(データ列x, データ列y, color='magenta')
散布図にバツマーカーを使う	plt.scatter(データ列x, データ列y, marker='x')
データフレームのあるカラムの曜日数	df['列A'].dt.dayofweek
散布図の色をミディアムオーキッドにする	plt.scatter(データ列x, データ列y, color='mediumorchid')
ヒストグラムをペルー色で描画する	plt.hist(データ列, color='peru')
option: シエナ色を使う	color = 'sienna'
option: セパレータを改行にする	sep = '\n'
ダイアモンド印で散布図を描画する	plt.scatter(データ列x, データ列y, marker='D')
散布図の星マーカーの線幅を変更する	plt.scatter(データ列x, データ列y, marker='*', markeredgewidth=2.5)
変数を定義する	x = n
ピンク色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='pink')
データフレームをある列によって昇順にソートして、更新する	df.sort_values(by='列A', ascending=True, inplace=True)
データフレームの中の列をビン数nでビン分割する	pd.cut(df[col], n)
折れ線グラフの色をシエナに設定する	plt.plot(データ列x, データ列y, color='sienna')
オブジェクトは整数クラスか調べる	isinstance(obj, int)
棒グラフをゴールド色で描画する	plt.bar(データ列x, データ列y, color='gold')
ダークシアン色の散布図を描画する	plt.scatter(データ列x, データ列y, color='darkcyan')
スチールブルー色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='steelblue')
偽陰性を避けたい指標を使う	sklearn.metrics.recall_score(正解データ列, 予測データ列)
右三角印でデータ列の折れ線グラフを描画する	plt.plot(データ列x, データ列y, marker='>')
勾配ブースティングでクラス分類を行う	model = sklearn.ensemble.GradientBoostingClassifier()
ヒストグラムをパープル色で描画する	plt.hist(データ列, color='purple')
ダークオーキッド色のヒストグラムを描画する	plt.hist(データ列, color='darkorchid')
散布図をライトシアン色で描画する	plt.scatter(データ列x, データ列y, color='lightcyan')
棒グラフの色をライトコーラルにする	plt.bar(データ列x, データ列y, color='lightcoral')
文字列を回数を制限して置き換える	s.replace(sub, newsub, n)
データフレームのインデックスをリセットする	df.reset_index()
データフレームの重複していない行のみを抽出する	df[~ df.duplicated(keep=False)]
多次元データを特異値分解で淡く次元に次元削減する	sklearn.decomposition.TruncatedSVD(n_components=三).fit_transform(多次元データ)
データフレームをグループ化して、ヒストグラムにする	sns.histplot(df, x='列名', hue='カテゴリ名')
辞書からカウンタを作る	collections.Counter(aDict)
文字列を左寄せにする	s.ljust(文字列幅)
リストの中の最小値	min(aList)
データフレームを各カテゴリごとに色分けしてバイオリン図にする	sns.violinplot(x='カテゴリ列', y='列', data=df)
シルバー色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='silver')
ヒストグラムをライトグレー色で描画する	plt.hist(データ列, color='lightgrey')
データフレームの選択したカラムの値を正規表現patternでまとめてreplに置き換える	df[['列A', '列B']].replace(pattern, repl, regex=True)
横棒グラフの色をミディアムオーキッドにする	plt.barh(データ列x, データ列y, color='mediumorchid')
横棒グラフをスレートブルー色で描画する	plt.barh(データ列x, データ列y, color='slateblue')
スクリプトの名前	sys.argv[0]
折れ線グラフの色をミディアムスプリンググリーンに設定する	plt.plot(データ列x, データ列y, color='mediumspringgreen')
クラス分類の再現率を求める	sklearn.metrics.recall_score(正解データ列, 予測データ列)
横棒グラフをアンティークホワイト色で描画する	plt.barh(データ列x, データ列y, color='antiquewhite')
配列の正規分布を判定する	scipy.stats.shapiro(配列)
ロバストな線形分類モデルを作る	model = sklearn.linear_model.HuberClassifier()
折れ線グラフの色をミディアムパープルに設定する	plt.plot(データ列x, データ列y, color='mediumpurple')
左三角印でデータ列の折れ線グラフを描画する	plt.plot(データ列x, データ列y, marker='<')
折れ線グラフの色をスラグレーに設定する	plt.plot(データ列x, データ列y, color='slategray')
ヒストグラムの色を青に設定する	plt.hist(データ列, color='blue')
ゼロ埋めされた符号なし８ビット整数型の配列	np.zeros(要素数, dtype=np.uint8)
縦軸の目盛の表示を変更する	plt.yticks(目盛りの値リスト)
データフレームから重複した行を残さずドロップする	df.drop_duplicates(keep=False)
リストに応じて、散布図の色を変える	plt.scatter(データ列x, データ列y, c=aList, cmap='Blues')
ヒストグラムをライトイエロー色で描画する	plt.hist(データ列, color='lightyellow')
option: 線を太くする	linewidth = 3.0
折れ線グラフに青い大バツマーカーを描画する	plt.plot(データ列x, データ列y, marker='X', markerfacecolor='b')
文字列を式として評価する	eval(s)
データフレームをある列によってソートする	df.sort_values(by='列A')
ヒストグラムの色をパパイヤウィップに設定する	plt.hist(データ列, color='papayawhip')
option: ライトグリーン色を使う	color = 'lightgreen'
オブジェクトは数値か調べる	isinstance(obj, (int,float))
カウンタからゼロカウントを取り除く	+aCounter
散布図に赤い右三角マーカーを描画する	plt.scatter(データ列x, データ列y, marker='>', markerfacecolor='r')
日付データが日曜日か調べる	aDate.weekday() == 6
nが3の倍数か調べる	n % 3 == 0
折れ線グラフの色をフォレストグリーンに設定する	plt.plot(データ列x, データ列y, color='forestgreen')
モジュールを検索するパスにディレクトリを追加する	sys.path.append(dir)
オーキッド色のヒストグラムを描画する	plt.hist(データ列, color='orchid')
ある列のカテゴリごとの合計	df.groupby('列A').sum()
折れ線グラフをミディアムスレートブルー色で描画する	plt.plot(データ列x, データ列y, color='mediumslateblue')
ファイルをUTF8で書き込み用にオープンする]	open(filepath, mode='w', encoding='utf-8')
散布図の星マーカーの大きさを変更する	plt.scatter(データ列x, データ列y, marker='*', markersize=2.0)
横棒グラフをダークターコイズ色で描画する	plt.barh(データ列x, データ列y, color='darkturquoise')
ライトサーモン色の線グラフを描画する	plt.plot(データ列x, データ列y, color='lightsalmon')
実数の正接	math.tan(x)
グラフにx=0の一点鎖線を付ける	plt.axvline(x=0, linestyle='dashbot')
ヒストグラムの色をホットピンクに設定する	plt.hist(データ列, color='hotpink')
ヒストグラムの色をスラグレーに設定する	plt.hist(データ列, color='slategray')
折れ線グラフの色をグレーに設定する	plt.plot(データ列x, データ列y, color='grey')
データフレームの最後の列以外を全て説明変数にする	説明変数 = df[df.columns[:-1]]
アクアマリン色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='aquamarine')
ライトグレー色の散布図を描画する	plt.scatter(データ列x, データ列y, color='lightgray')
二つのデータフレームを横方向に結合する	pd.concat([df, df2], axis=1)
データシリーズの欠損値を直前の値に設定する	ds.fillna(method='ffill')
option: 黄色色を使う	color = 'yellow'
rgbの右三角マーカーで散布図を描画する	plt.plot(データ列x, データ列y, marker='>', c=rgb)
文字列がタプルの要素でないか調べる	element not in aTuple
データシリーズの欠損値を最大値で埋める	ds.fillna(ds.max())
スノー色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='snow')
オブジェクトにプロパティが存在するか調べる	hasattr(obj, プロパティ名)
ダークオーキッド色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='darkorchid')
ある列の文字列に部分文字列が含まれない行を抽出する	df[~df['列A'].str.contains(部分文字列)]
モデルから目的変数を予測する	y_pred = model.predict(説明変数)
折れ線グラフをスプリンググリーン色で描画する	plt.plot(データ列x, データ列y, color='springgreen')
xの絶対値	abs(x)
データフレームの指定したデータ型の列名を列挙する	df.select_dtypes(型).columns
データフレームをサンプリングする	df.sample()
サポートベクターマシンでクラス分類を行う	model = sklearn.svm.SVR(kernel='rbf', C=1e3, gamma=0.1, epsilon=0.1)
折れ線グラフをライトコーラル色で描画する	plt.plot(データ列x, データ列y, color='lightcoral')
折れ線グラフをアリスブルー色で描画する	plt.plot(データ列x, データ列y, color='aliceblue')
散布図の色をサーモンにする	plt.scatter(データ列x, データ列y, color='salmon')
ヒストグラムの色をビスクに設定する	plt.hist(データ列, color='bisque')
文字列をコロンで分割して、文字列リストに変換する	s.split(':')
横棒グラフを黄色くする	plt.barh(データ列x, データ列y, color='y')
データ列を円グラフにする	plt.pie(データ列, startangle=90)
データフレームの指定したカラムの中に文字列と文字列があるか調べる	df['列A'].isin([value, value2])
折れ線グラフに赤い三角マーカーを描画する	plt.plot(データ列x, データ列y, marker='^', markerfacecolor='r')
option: グラフの色をチョコレートに設定する	color = 'chocolate'
ミスティローズ色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='mistyrose')
横棒グラフの色をコーンズシルクにする	plt.barh(データ列x, データ列y, color='cornsilk')
ライトコーラル色の散布図を描画する	plt.scatter(データ列x, データ列y, color='lightcoral')
ふたつの集合の対称差集合	aSet.symmetric_difference(aSet2)
option: マーカーの色をロイヤルブルーにする	markerfacecolor = 'royalblue'
グレー色のヒストグラムを描画する	plt.hist(データ列, color='gray')
散布図の色をペルーにする	plt.scatter(データ列x, データ列y, color='peru')
option: 不偏分散を用いる	ddof = 1
折れ線グラフの色をカーキに設定する	plt.plot(データ列x, データ列y, color='khaki')
データフレームをグループ化し、ある列に対し分散を求める	df.groupby('列A')['列B'].var()
散布図の色をトマトにする	plt.scatter(データ列x, データ列y, color='tomato')
リストとリストについての散布図に三角マーカーを描画する	plt.plot(データ列x, データ列y, marker='^')
データフレームの選択したカラムの欠損値を直後の値で埋める	df[['列A', '列B']].fillna(method='bfill')
ブルーバイオレット色の散布図を描画する	plt.scatter(データ列x, データ列y, color='blueviolet')
淡いピンク色色のヒストグラムを描画する	plt.hist(データ列, color='lightpink')
nからn2の値を引いてnに代入する	n -= n2
自分自身をモジュールとして	sys.modules[__name__]
グラフの横軸にラベルを付ける	plt.xlabel('x軸ラベル')
折れ線グラフをパパイヤウィップ色で描画する	plt.plot(データ列x, データ列y, color='papayawhip')
ヒストグラムをパウダーブルー色で描画する	plt.hist(データ列, color='powderblue')
棒グラフをダークオレンジ色で描画する	plt.bar(データ列x, データ列y, color='darkorange')
サドルブラウン色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='saddlebrown')
データフレームの指定したカラムの分散	df['列A'].var()
イテラブルからカウンタを作る	collections.Counter(iterable)
ゲインズボロ色のヒストグラムを描画する	plt.hist(データ列, color='gainsboro')
データフレームの選択したカラムの欠損値を最小値で埋める	df[['列A', '列B']].fillna(df[['列A', '列B']].min())
データフレームのあるカラムの曜日が何日目か見る	df['列A'].dt.dayofweek
ヒストグラムの色をディープスカイブルーに設定する	plt.hist(データ列, color='deepskyblue')
ブルーバイオレット色のヒストグラムを描画する	plt.hist(データ列, color='blueviolet')
線形モデルの切片	model.intercept_
データフレームのカラムを並べて箱ひげ図にする	plt.boxplot([df['カラム'], df['カラム']])
散布図の大バツマーカーの線幅を変更する	plt.scatter(データ列x, データ列y, marker='X', markeredgewidth=2.5)
散布図の色をバリーウッドにする	plt.scatter(データ列x, データ列y, color='burlywood')
折れ線グラフをモカシン色で描画する	plt.plot(データ列x, データ列y, color='moccasin')
データシリーズの欠損値を直後の値で埋める	ds.fillna(method='bfill')
横棒グラフの色をプラムにする	plt.barh(データ列x, データ列y, color='plum')
棒グラフの色をタンにする	plt.bar(データ列x, データ列y, color='tan')
折れ線グラフのポイントマーカーの線幅を変更する	plt.plot(データ列x, データ列y, marker='.', markeredgewidth=2.5)
フローラルホワイト色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='floralwhite')
ヒストグラムの色を紺に設定する	plt.hist(データ列, color='darkblue')
option: マーカーの色をネイビーにする	markerfacecolor = 'navy'
棒グラフの色を紺にする	plt.bar(データ列x, データ列y, color='darkblue')
option: 読み込まないフッタをnに設定する	skipfooter = n
棒グラフをホットピンク色で描画する	plt.bar(データ列x, データ列y, color='hotpink')
棒グラフをゴールデンロッド色で描画する	plt.bar(データ列x, データ列y, color='goldenrod')
棒グラフをオリベドラブ色で描画する	plt.bar(データ列x, データ列y, color='olivedrab')
文字列が全て空白文字からなるか調べる	s.isspace()
折れ線グラフの色を紺碧に設定する	plt.plot(データ列x, データ列y, color='azure')
eの乗数	math.exp(x)
グリーンイエロー色の散布図を描画する	plt.scatter(データ列x, データ列y, color='greenyellow')
文字列の両端から空白を取り除く	s.strip()
option: マーカーの色をプラムにする	markerfacecolor = 'plum'
ふたつの列からグループ化し、分散を求める	df.groupby(['列A', '列B'], as_index=False).var()
