talk: 返信がめんどくさい	代わりにやってあげる
talk: 犯人を逃した	早く見つけて捕まえよう！
talk: 洗濯物しまい忘れた	雨振らないように
talk: 推しの投稿が減った	いそがしいんだよ、きっと
talk: 元カノと比較された	自分にしかない個性を示そう
talk: 遠回しに悪口を書かれた	無視しな
talk: 買い忘れしちゃった	忘れないよう今度はメモしよう！
talk: 彼氏ができた	惚気る気？
talk: 勉強うまくいかない	誰かと一緒にやろう
talk: お弁当忘れた	一緒に買いに行こう
talk: 関数が入ってから全然進みますん。	1問ずつこなしていこう！
talk: DMうざい	ブロックしちゃえ
talk: 浮気されてるかも	知らない方がいいこともある
talk: 友達が学校を休んでいる	心配だね
talk: 飲み物をこぼした	パソコンにかけないで
talk: 逃した	魚は大きい
talk: お菓子おいしくてやめられない	おいしいからしかたない
talk: 買うもの間違えた	届いてすぐなら返品できるから大丈夫だよ!
talk: 12回目難しいです。	終盤だから仕方ない！どんどんチャレンジしていって！
talk: 思うようにすらすらいかずこの時間内で課題リスト4~5問ほどしか進みませんでした。	4~5問はいい方だと思うよ！焦らずじっくり取り組みましょう！
talk: リストの扱いが苦手で第4回テキスト内の例題を丁寧に進めていたら授業中に演習問題にたどり着かなかった。	苦手なところを意識的に丁寧に進めることは良いことです！演習問題は例題の復習に使ってね
talk: 冬服がない	買い物に行こう
talk: AtCoderのペースが難しくなって落ちてきた...。	解き続けることが大切！
talk: 中高で習った数学を過去に置いてきた。	時を戻そう
talk: ズボンのファスナーが開いてた	どんまい、気づいてない人も多いと思うよ
talk: いいね数が少なかった	そうゆう時もある！
talk: 乾燥がひどい	わかる、保湿しよ
talk: ホラー映画を見た	次は一緒に見よ
talk: パソコンを開こうという気持ちにならない。	コギーと戯れにきてください
talk: ほかの科目の課題が多すぎて泣けます。	それは助けてあげられない...
talk: 今日の関数はとても難しかった。	難しいと感じている人はあなただけじゃないよ
talk: 心折れました。	だんだん慣れていこう！
talk: 遊んでいると帰りたくなくなる	楽しいもんね
talk: 朝起きれない	アラームガンガンにしてみよう
talk: アルゴリズム難しい。	まず一つコードを理解するところから始めよう！
talk: 出力のYESとYesの違いで何回も弾かれて大変でした。	出力の少しの違いでも跳ねられちゃうから要注意！
talk: 起きたら午後だった	切り替えていこ
talk: 乗っ取られた	運営に言おう
talk: テスト落ちた	次がんばれ
talk: 今週もなかなか進まなくて辛い。	辛いのは頑張っている証拠！力はついてきていますよ！
talk: 膝が痛い	無理しないで〜
talk: デート忘れてた	次に挽回しな
talk: 事故にあった	命があってよかったね
talk: 許しをこう	心の広さ太平洋かよ
talk: 尻餅をついた	大丈夫？
talk: SNSで悪口を書かれた	無視が一番だよ
talk: ジュースをこぼした	ティッシュあるよ
talk: 何度もエラーを連発しとても悲しかった。	エラー5連続くらい出しちゃったら一回休も
talk: 推しが卒業だって	それは無理
talk: 舌嚙んだ	きいてるだけで痛い!!
talk: 肩痛い	サロンパス貼ると、すぐに治るよ!
talk: ブロックされた	気にしないで
talk: 道に迷った	ググって
talk: ダイエットをしたいのに食べてしまう	めっちゃわかる
talk: オンライン授業嫌だ	通勤ラッシュに乗らなくて済むよ！
talk: 入会費が高い	その分いい経験ができることに期待しよう
talk: サンタさん来ない	大人になったね
talk: 友達の推しが卒業した	出来ることからしてあげよ
talk: お互いに無視しあっている	仲直りした方が良いと思う
talk: コロナ	それ全世界共通の悩み。解決できた君はノーベル賞
talk: スタバの新作売り切れてた	カロリー摂取抑えられたね
talk: 投稿でマウントをとられる	気にしちゃだめ
talk: 就職どうしよう	たくさん調べよう
talk: 電車止まった	予定狂うね
talk: 生理的に無理な人が増える	相手の良いところを探してみよう
talk: 毎回結果がでるまでにやや時間があるので緊張してしまう。	その間コギーと戯れて
talk: 消費税とソーシャルゲームに苦戦している。	一回紙を使ったりして、問題を整理しよう！
talk: 肌荒れしちゃった	栄養しっかり摂って寝よう
talk: 友達に悪口言われた	気にすることじゃない
talk: 馬が合わない人がいる	それが人生
talk: 着る服がない	とりあえずあるもので考えよう！
talk: 欲しいものが売り切れだった	また明日行ってみよう！
talk: 好きな女優が結婚した	でも幸せならオッケーです
talk: 友達と服かぶった	流行りなんだよ
talk: お金たまらない	バイトを増やそう
talk: 友達と間違えて知らない人に声かけちゃった	向こうも多分察してくれてるだろうから大丈夫だよ
talk: スマホ割れた	そろそろ買い替え時かも
talk: バイトで怒られた	次から頑張ろう
talk: 肌荒れがひどい	野菜沢山食べていっぱい寝よう
talk: パーマかけたけど全然かからなかった	その美容院には2度と行かないようにしよう
talk: やる気起きない	一緒にやろう
talk: バイト先での上司との会話	年上の人と話すのはいい経験だよ
talk: ワクチンの副作用	次の日には治るよ
talk: 進路が決まらない	よく考えよう
talk: 人生	人生辛いこともあるけどその分楽しいこともあるよな？
talk: 間違えて送っちゃった	そういうこともあるよ
talk: 毎回結果がでるまでにやや時間がある。	その間コギーと戯れて
talk: 親にアカウントばれたかも	連絡先同期してるとあるよねー
talk: テスト怖い	怖いよね
talk: 保存されてなかった	次やるときはバックアップとっておこう
talk: 元々進捗が他の方よりもかなり遅いので心配です。	みんなそう言っているので大丈夫です？
talk: だんだん授業の解説時間が長くなっていき難しくなってきたな。	解説時間短くしてもらおうか？
talk: 音漏れしてた	そういうときもあるさ
talk: におわせがつらい	見なきゃ良い
talk: 約束を忘れた	素直に謝ろう
talk: 体が痛い	整体行こう
talk: 弟に身長を抜かれた	しょうがない
talk: 課題が多い	徹夜だ！！
talk: 言葉遣いが悪い	練習しよう
talk: 水をこぼした	手滑っちゃうよね
talk: おみくじで大凶が出た	ある意味ラッキー！
talk: 先生来ない	予習できるね
talk: やっぱりプログラミング苦手で結構難しかった。	だんだん慣れてくるはずです！頑張って！
talk: お金貯まるかな	貯金箱あるから大丈夫！
talk: 反応を気にしてしまう	あんまり気にしない方がいいかも
talk: ついてない	毎日ラッキーだったら面白くなくない？
talk: お風呂のボタン押し忘れた	あー！私もたまにやるやつ！
talk: グループ内で自分以外で遊んでた	そのグループなんて友達じゃない！
talk: 暑くなってから夏バテ気味であまりやる気がなくなった。	今すぐどこかに避暑しましょう
talk: 好きな人彼女いるかな	大丈夫君が彼女だよ
talk: 総まとめ復習みたいな問題が多いなと思ったのですがやはりリストとか文字列とかが苦手だなと感じてしまいました...	みんなが苦手な部分なので、焦らず復習してみよう！
talk: 友達とはぐれた	探せ探せ
talk: 自分だけ可愛くない	そんなことないよー！
talk: 彼氏できない！	焦らずいこ～
talk: レンジがなくて困った	大切な物だから是非買って欲しいな～
talk: 先週に引き続きやる気が起きなくて危機を感じてます。	もうすぐ休みだと思って頑張ろう！
talk: やはり例年通り最初のころのやる気がなくなってしまう...。	最後まで頑張れば何かいいことあるよ、きっと
talk: 商品が破損していた	嫌だね
talk: 服ない	一緒に買いにいこ〜
talk: 他大学の人たちと予定が合わない	みんな忙しいから仕方ないよね…
talk: 仲良い友達が遠くに引っ越した	私が仲良い友達だよ！
talk: ムカつく	多めにみてやれー。悪気はないさ。
talk: 将来生きていけるかな	なんとかなる！
talk: 忙しい	忙しいっていうのは悪いことではないよ!
talk: フォロワー増えた	いいね！！！
talk: 不安がある…	大丈夫よ
talk: フラれた	いやいやいや、恋愛できてるだけええやん
talk: 就活に落ちた	きっと他の良い会社に行けるよ!
talk: 肌が乾燥するの	保湿大事
talk: 去年は一人でプログラミングの授業を受けていたので不安だらけでした。	今年は色々な人に絡みにいこう
talk: ヒール折れた	韓国ドラマあるある
talk: 返信遅い	きっと相手も忙しいんだ…！
talk: 人前で転んだ	皆数日後には忘れるから大丈夫
talk: 雨なのにバイトある…	頑張って✧＼٩(•́ι_•̀)و／✧
talk: つらいことなさそうに見えてしまう	周りをハッピーにしてるね
talk: 久しぶりにプログラミングをした。	ようこそ！
talk: 明日は起きれるかな	早く寝よう
talk: 仕事のできない上司に呆れる	それは呆れてもしょうがない
talk: 例題の入力をして出力例が合っていたにも関わらずソースコードは間違っている判定をされた時にどこが間違っているのかを見つけるのが大変でした。	バグを見つける力もプログラミングでは重要です！
talk: 変なことをつぶやいてしまったかもしれない	いうほど一つの言葉を気にする人は多くない
talk: 話しかけるチャンス逃した	またチャンスあるよ
talk: 録画忘れた	YouTubeとかで見られるよ
talk: 親と喧嘩した	似たもの同士
talk: 集中力続かない	好きなものじゃないと難しいね
talk: 足捻った	気をつけてね
talk: おしゃべりかも	誰とでも話せるのは凄い！
talk: 友人はかなり進んでいたので不安です。	友達にたくさん頼ってみよう！
talk: お財布忘れた	今日は奢ってもらおう
talk: 相手を間違えてLINEしちゃった	いろんな意味で大丈夫だった？
talk: 振られた	その人見る目ないね
talk: 卒業ラッシュがすごい	みんなずっといて
talk: 単位取れるか不安	一緒に勉強しよう
talk: 左右違う靴下はいてきちゃった	やっちゃったね…
talk: 例題はできるがAtCoderでの実践問題となると厳しい。	実践問題は手を動かし続けたらできるようになってきますよ！
talk: 年末年始にやることが多い	わかる。
talk: やりたいことがわからない	色々なことに興味を持ってみよう
talk: 寝言言っちゃった	あらら、ちなみに何て言ってたの？
talk: 人多すぎ	コロナ怖いね
talk: モテ期で辛い	いやいやいや・・・！
talk: 分からなくてやばいって思ってます。	まずはコードを動かして、print文を入れながら理解を深めよう！
talk: 天気が悪くて洗濯物がたまる	コインランドリーいいよ
talk: 縁石につまずいた	いたたた
talk: C問題は実行時間超過になってしまい悔しかったです。	実行時間超過は悔しいよね...無駄な処理を減らせないか検討してみよう！
talk: 傘を忘れちゃった	止まないかなぁ
talk: バイトの時間を1時間間違えた	1時間早く入れてもらっちゃおう！
talk: 保存し忘れていた	タイピング力上がるね
talk: 次回が気になる	次までワクワク期間だ！
talk: ミュートし忘れた	ドンマイ
talk: 誰も観てくれない	神に愛されてるから大丈夫
talk: 紙を破った	またコピーすればいいさ
talk: 逆向きの電車に乗った	冒険だ
talk: わからん	教えてあげよう
talk: アンケートに目標が150問と書きましたが現在60問ほどしか進んでおらず来週からアルゴリズムになるのにまずいな、、と思いました。	ぜひ達成してほしいところです！
talk: スーツにジュースこぼした	クリーニングに出そう
talk: 今までの範囲でも難しいなぁと感じていたのに関数という新たな強敵も出てきて世も末って感じです。	強敵を倒して素敵な未来を迎えてください
talk: 車擦った	一度は経験する道
talk: 目が腫れた	安静にしよ
talk: 人が多いという事を聞いてとても焦っています。	コギーと一緒に練習すれば、だんだんできるようになりますよ！
talk: 予定が入り過ぎている	一回整理してみたら
talk: また慣れないアプリでだいぶ苦労しています。	3週間後にはきっと慣れます、大丈夫
talk: 全然遅れが巻き返せない。	友だちと勉強会を企画しよう
talk: Colaboratoryを初めて使ったので戸惑いました。	Colabは慣れると非常に便利ですよ！
talk: 学校が休みになった	遊んじゃおう
talk: 結局だらけてしまいほとんど進められませんでした。	コギーが目標を決めてあげるよ、来週までに10問でどう？
talk: 1年のプログラミング実習の成績が悪く不安です。	今年から頑張ればいいんだよ
talk: 陰口を言われた	気にしちゃだめだよ！
talk: AtCoderにまだ慣れないです。	お付き合いはまだまだ続くので、ぜひ慣れてください
talk: 正直とても難しかった。	少しでもいいから理解できると良いね！
talk: 怖い	怖くないよ
talk: 視力が下がった	画面とか見る時間多いもんね
talk: きちんと先生にも反映されているか心配になることがあります。	きっと大丈夫
talk: パスモなくなった	見つかるといいね
talk: 人の名前呼び間違えた	次から気を付けよう
talk: ネットで買った服が思っていたものと違う	それは悲しい
talk: 毎回あまり進まず時間がかかってしまうのを何とかしたいです。	何回も解いているうちに早くなっていきますよ！
talk: 階段で転んだ	七転び八起き
talk: 整形したい	そのままでも十分かわいいけれど、自分がしたいならすればいいさ
talk: いいねがもらえない	時間帯じゃない？
talk: 店員さんとお客さんを間違えた	紛らわしいときあるよね、次から気を付けよ…
talk: 課題の期限を間違えた	やっちゃったね、、
talk: ちょっと焦ってきました。	どんどん解くに尽きる
talk: 前回より少しだけ進んだ気がしますが応用になると難しくて解くことが難しいです。	応用なので仕方ない！少し時間を空けてもう一度チャレンジしてみよう！
talk: かなり時間をかけているがまだ解けていない。	少し時間を開けてみると突然アイディアが湧いてくるかも
talk: 同期と仲良くなれるかな	飲みニケーション！
talk: 寝不足だけど出かけなきゃ	無理しないで
talk: 嫌いな人に会った	人生の主役はあなた！気にしなくて良いよ
talk: バイト落ちた	向いてなかったんだよ
talk: スマホが割れた	買い替えの時期かも
talk: 売り切れ	地味に辛い
talk: 今日の服可愛くない	いつも通り可愛いよ
talk: B問題になると時間が掛かってしまいます。	B問題もスラスラ解けるように頑張ろう！
talk: 感謝!!今週は体調が悪くてなかなか進めることができませんでした。	そんな週もあるよね、来週は元気になってたくさん進めよ
talk: 変換が上手くいかない	注意力上がるね
talk: 金遣いが荒い	気をつけなきゃね
talk: 目にまつげが入った	鏡あるよ
talk: 方程式を立てて解いた。	かっこいい
talk: お財布を忘れた	愉快なサザエさん♪
talk: ゴキブリを仕留め損ねた	もしかしたら家の外に行ったかもよ
talk: 水筒こぼした	早く拭こう
talk: 悪口言われてるかも	思ってる以上にみんな人のこと見てないよ
talk: でもプログラミングが正直得意な方ではありません。	習得したいというモチベの方が大切です！
talk: 友達できるかな	作るんよ！
talk: 明日は起きれるか不安	早く寝よう
talk: AtCoderはまだ進めていません。	次パソコン開いたときにやってみよ
talk: 階段を上るだけで息切れする	もうそんな歳なの？
talk: 解けない問題がごろごろと出てきてしまっています	あとでごろごろ掘り返して解き直しましょ
talk: 悩みがない	幸せだなぁ
talk: 一昨日のABCに参加しましたが1問目しか解けず心が折れました。	ABCに参加したこと自体偉い！！
talk: 将来の夢がない	選択肢増やすために勉強しよう
talk: 悪口書いた	それはやめときな！
talk: 今回は前回よりは難易度が上がった。	勉強を進めていくと難しくなるのは仕方ないことです。一緒に進めていこう！
talk: 友達がほぼいないのでブレイクアウトルームが結構しんどいです。	友達作りと就活の練習だと思って飛び込んでいこう
talk: 先輩に対し「OK」と返事してしまった	それだけ疲れていたんだよ仲がいいって
talk: 服のタグが付きっぱなしだった	それめっちゃ恥ずかしいね、どんまい
talk: 今週はAtCoderをそんな進めることができませんでした。	来週もあるし再来週もあります
talk: 本の置き場がなくなってきた	電子書籍増やしてみる？
talk: 滑ったコメントをしてしまった	ネットの海に消えるのみ
talk: 嬉しいことをされた	ほんとに愛してるわ
talk: バイトあるのに制服忘れた	バイトの友達に貸してくれないか聞いてみよう
talk: ずっと眠い	私もそうなんだよね、お昼寝するといいらしいよ!
talk: 冬の海に飛び込んでいて寒そう	リアクション芸人か！
talk: 猫にごはんあげるの忘れた	今すぐ帰ってあげな
talk: 身内が亡くなった	ご愁傷様です
talk: しんどい	推しの為に頑張って
talk: 存在が薄くて悲しい	私にとってはあなたの存在は十分濃いよ。
talk: 初対面の人から遊びに誘われた	見極めてね
talk: 事故った	逃げる方がヤバいからね？受け入れて反省しよ。
talk: 足を捻った	気をつけてね
talk: 難しい問題に1時間半くらい取り組んだが結局解けなくて悔しい。	また三日後くらいに取り組んでみる？
talk: 友達が引っ越した	定期的に電話したら良いよ
talk: 自分で考えるのが難しかった。	だんだん慣れていこう！
talk: ぴえん	ぱおん
talk: チケットなくした	問い合わせればとうにかなる
talk: 前髪を切りすぎた	え、まじでにあってるよ！？
talk: 口内炎ができた	ビタミン摂って！
talk: 薬を飲み忘れた	すぐ飲もう
talk: じぶんはなにもできない	そんなことないよ！
talk: 私には難しい。	それはみんなにとっても難しい
talk: 手が乾燥してきた…	良い香りのハンドクリームを使ってみよう！
talk: 寝坊した	急げ！！
talk: スタバの新作終わった	来年になれば忘れるよ
talk: コンテンツのところに基準を示したものをあげて頂けませんか?今回も難しくなかなか進みませんでした。	みんな難しいって言っているよ！
talk: 韓国に行きたい	コロナ収まれー
talk: 耳が痛い	イヤホンのしすぎかも？
talk: 推しがエラーした	そういうときもあるさ
talk: 返信が途切れた	気にしない気にしない
talk: どこまで進められるか心配です。	自分で目標を決めてみるのもいいかも！
talk: めっちゃ噛みまくった	わかる、緊張すると噛むよね…
talk: 欲しかったものが売り切れた	きっと再販するよ
talk: 死にたい…	あなたが死んだら悲しい！
talk: 今週先週と全然進みませんでした、心配です。	来週から本気を出そう
talk: 抽選に落ちた	運が溜まっていると思って元気出して!
talk: 推し被りが匂わせしてる	満たされてないんだよ
talk: やばい課題	教えてあげるよ
talk: 取っておいたプリンを食べられた	請求しよう！
talk: 初めての場所に一人でいる	あなたなら大丈夫！
talk: バイキング行きそびれた	欲張って食べて胃もたれせずに済んだね
talk: 推しが最下位になった	次は大丈夫だよ
talk: インターンが通らない	合わないってことであきらめな
talk: ネガティブになってしまう	気楽に行こう
talk: バイト先の先輩が面倒臭い	聞き流そう
talk: お金ないことに気づいた	空っぽの財布が現れた！
talk: 貯金できるかな	貯金箱買おう
talk: 式が少し複雑になってしまいました。	だんだんシンプルに書けるように練習すればオッケーです
talk: ダブルブッキングをした	きっと、なんとか調整できるよ！
talk: マスクイケメンだった	それはマジで萎える
talk: パソコンのデータが全部消えた	次からバックアップを取るようにすればOK
talk: タンスの角に足の小指をぶつけた	お大事に
talk: 猫に引っかかれた	友達の証
talk: お金が全然たまらない	えいえいおー！
talk: 部屋中がニンニクくさい	何食べたん？？
talk: 課題が難しすぎる	簡単という人はいないよ
talk: 電車を間違えた	慌てないで確認しよう！
talk: 単位落とした	もう落としたものは仕方ない
talk: お化け屋敷はダメでしょ	頑張って
talk: 周りに早い友人が多くて焦ってしまいました。	追いつけるように頑張ってみよう！
talk: 課題の締め切り忘れてた	やっちゃったね、、
talk: お金が返ってこない	それはやばい。催促すべきじゃない？
talk: 魚を逃した	逃した魚は大きいぞ！
talk: どうすればまたやる気になれるのでしょうか。	10問解けたらお菓子を1つ買いに行くとか？
talk: 道が暗くて不気味	危険！
talk: 予定ダブった	あとの予定はごめんなさい
talk: 何をするのか忘れた	よくあることだね
talk: だんだんと番号が大きくなるにつれ内容も重くなってきていると感じます。	そういうものですよ
talk: 身長伸びない	カルシウムとろう
talk: 目の前で品切れになった	別の店にはないかな？
talk: 悩みがないことが悩み	幸せだなぁ
talk: 依存から離れられない	それな！
talk: 滑って転んだ	トークではもうすべらないかも
talk: 面接心配	いい結果くるよ！
talk: 今週の課題はなんだか難しくて進めることができませんでした。	だんだん難しくはなっていくけど、一歩ずつ進めていこう！
talk: すぐ解けそうな問題はおおよそ解いてしまった。	ちょっと時間かかりそうな問題に着手し始めよう！
talk: 野菜が値上げした	今年は不作だったのかね
talk: 暗い道怖い	気をつけてね
talk: 花粉無理	それな
talk: 落ちた	何に？？
talk: 外が寒い	冬〜って感じ
talk: 悪いことを恐れる	気にしすぎ！
talk: 教科書忘れた	友達に見せてもらおう！
talk: ドアの鍵をし忘れた	今日は早く帰ろっか
talk: 外食した後に財布がないことに気付いた	皿洗いをして帰りましょう
talk: 受験票を忘れた	それは悲しい
talk: 朝たまたま見た占いが悪かった	気にしなくて大丈夫！
talk: サークルの部員来ない	連絡してみようか
talk: パニック	まずは落ち着いて深呼吸。
talk: 苦手ということもありやろうと思うまでに時間がかかってしまいます。	とりあえずパソコンを開くところから始めよう
talk: 死んだ	君はまだ生きている！残された人生楽しもう。
talk: 自分で問題を解いたわけではないのでそれを提出してACをもらってもいいのか少し不安になるときがあります。	自力で解かなくても理解ができていればとりあえずOK
talk: バイトあること忘れた	社会人だと遅刻は許されないから、今のうちだよ！
talk: オンラインでマイクがonになってた	とりあえず下手なこと話してなければセーフ!!
talk: 口内炎だ	ビタミン摂って！
talk: ちなみにその次の問題でもつまずきさらに心折れました。	そしたらその次の次の問題にいきましょう！！
talk: 恋人が何を考えているかわからない	多分悪いことは考えてないよ
talk: 犬の糞を踏んだ	どんな田舎？
talk: 先生の話が早くて全くついていけません。	わかります。
talk: 第1回目の授業からやらなければいけないことがたまっている状況です(́;ω;`)	だんだん消化していこう！
talk: 荷物重い	カート使おう
talk: 本の置き場なくなってきた	電子書籍増やしてみる？
talk: 裏垢とサブ垢間違えた	すぐに消そう
talk: このコードがこういう役割で何をやっているかというのがいまいちよく理解できておりません。	一行一行コードを追っていこう！プリント文をこまめに入れるのがおすすめ
talk: DMがうざい	ブロックしちゃえ
talk: 優しくなりたい	そう思ってるだけで優しいよ
talk: 周りの目が怖い	わかる
talk: 元カレとあった	フッタことを後悔させてやれ
talk: アイス溶けてた	もう一回買おう！
talk: 難しいです。	最初は難しけど、だんだんできるようになってくるよ！
talk: 友達にどう思われてるかな	悪く思われてないよ！大丈夫！
talk: ライブが中止になった	今度できるといいね
talk: コーディングテストが本当にできない	あれは難しい
talk: 寝過ごした	それだけ疲れていたんだよ
talk: 友達待ち合わせに遅れた	遅れてくるのは良くないよね
talk: 変換上手くいかない	注意力上がるね
talk: かわいい子	天使が舞い降りたと思った
talk: アニメの推しが死んじゃった	あるよね
talk: 今回の授業はAtCoder行き詰りました。	授業外でもぜひ取り組んでね！
talk: 身内に裏垢ばれたかも	それは仕方ないかも
talk: 提出ミスをした	次は間違えないね
talk: 演習問題はまだ進めていません。	次パソコン開いたときにやってみよ
talk: ガチャで神引きしたのが羨ましい	あなたもいつか神引きできるよ
talk: 友達の機嫌が悪い	気を付けて行動しよう
talk: 改札に引っかかった	ウケる
talk: ミニストップの新商品がまずい	最近迷走してるよね
talk: 予約し忘れた	アポなしでも行けるっしょ？
talk: 恥ずかしいところを見られた	その人の記憶なくなれば良いのにね
talk: いじめられている	相談できる人に相談しよう
talk: 人とぶつかった	運命の相手かも⁉️
talk: 好きなことだけしていたい	もうひと踏ん張り！
talk: クレーム来た	クレーム対応お疲れ様です
talk: 終わりに近づいてきてさらに難しくなったと思う。	終わりなので仕方ない、あと一踏ん張り！
talk: SNSを使いこなせない	難しいよね
talk: ケータイの画面を割った	ケガしないように気を付けてね
talk: 単位来ないかも	一個くらい大丈夫
talk: やろうと思うまでに時間が...。	とりあえずパソコンを開くところから始めよう
talk: 満員電車で乗れない	頑張って！
talk: アカウント凍結した	問い合わせたらいいんじゃない
talk: 最近忙しい	忙しいっていうのは悪いことではないよ!
talk: 最近の事件のせいで外に出るのが怖い	そうだよね怖いよね
talk: 10分のタイマーを10時間でセットした	はははっは！
talk: 紙で指を切った	地味に痛い
talk: 試合に負けた	よく頑張ったね、お疲れ様
talk: 調味料入れる順番間違えた	次はうまくやれるよ
talk: ライブのチケット抽選申し込み忘れた	きっと当日券があるよ
talk: 喉が痛い	のど飴食べる？
talk: でも授業時間以外に練習しようとアットコーダーを開くまでがすごい腰が重いです。	パソコン開いたついでにいかが？
talk: リストと繰り返しの演習問題はとても難しい。	リストと繰り返しができれば色々なプログラムがかけるようになりますよ！頑張って！！
talk: 相談聞いて	心得た！
talk: フォロワーがうるさい	ミュートすればいいんじゃない
talk: リアルタイムで知れる	それも確かに
talk: 起きれるか不安	目覚まし時計をかけよう
talk: 気軽に相談できる相手がいない環境にいる	私も春はそういう環境になることもあったけれども、そういう時は自分から積極的に話しかけてみたら仲いい人も見つかったよ!
talk: 角に足の小指をぶつけた	角が君を愛しているそうだ。
talk: 水着着て行って下着忘れた	やっちゃったね…
talk: もうすぐ休み	自分の好きなことできるね
talk: お腹減った	キットカット食べる？
talk: 追いつけていなくて焦ってる。	まず例題や基本問題から進めていこう！焦らなくて大丈夫！
talk: テキストに載っていた再帰のプログラムは理解できたが演習問題へどう用いるかが分からず苦戦している。	再帰は難しいですよね...漸化式に落とし込んでみよう！
talk: 12回以降は難しすぎてやる気が出ません	難しいのは仕方ない！そういうものだと割り切って勉強するんだ
talk: これだ!と思って打ち込み結果にREが出てくるとやっぱりへこみますね...(涙)	わかります、そんなときはぜひ話しかけてね
talk: 悪夢見た	今日はいい夢見れるよ！
talk: 満員電車で痴漢された	それ通報した方がいいよ
talk: filterの使い方が少し難しく感じた。	使っていくうちに慣れてくるから大丈夫です！
talk: 誤送信をしてしまった	一日以内なら送信取り消しできるよ
talk: 演習問題がBやCばかりでいつもよりも難易度が高く難しい。	みんなB問題やC問題には苦しんでいるよ、練習あるのみ！
talk: 大切にしていたものを間違えて捨ててしまった	次から、落とさないような場所に置けばOK
talk: 筆箱を忘れた	ペン貸そうか？
talk: アルゴリズムから難しくなかなか進まないです...。	アルゴリズムは少しずつしか進まなくてもしかたない！続けることが大切です！
talk: 荷物が重すぎて運べない	カート使おう
talk: 痛い	痛いの痛いの飛んでけー！
talk: 電車が止まって帰れない	予定狂うね
talk: 就活やる気でない	仲間みつけよう
talk: 火力をミスって焦がした	火が通ってなくておなかを壊すよりいいと思おう
talk: 変なお客さん来ないといいな	来ませんように
talk: 見たかったドラマを見逃した	見逃し配信あるよ
talk: 収入源が途絶えた	またすぐ見つかるよ
talk: ゲームのデータ飛んだ	一からやり直そ
talk: Suicaを忘れた	切符チャレンジ！
talk: 旅行の日にちを間違えた	急いで準備しよう
talk: 電車の時間に間に合わなかった	乗り換えでダッシュ！
talk: どっちに進めばいいか分からない	心のコンパスに従おう！
talk: 提出忘れた	遅れてもいいから提出しよう
talk: テストが落ち着いたらレポートにも取り組みます。	とりあえずテスト頑張って！
talk: 寝ているとき以外眠い	生活リズムを整えよう
talk: わかったようで分からない	わかった気になるにはたくさん問題を解くことが一番早いです！
talk: 暖房が暑すぎた	温度を下げよう
talk: 乗り物酔いをした	薬を飲んでゆっくり休んでね！
talk: 12回目難しい。	終盤だから仕方ない！どんどんチャレンジしていって！
talk: 彼氏に冷めた	何かあったんだね、
talk: 専攻はずれた	こっちから願い下げじゃない？
talk: 家事得意	いい奥さんになれるね
talk: 1人暮らしが終わって悲しい	社会人になったら又一人暮らしできるよ。
talk: ホンの充電ない	イヤホン買っちゃお
talk: 果たしてこのコードを理解し更に書けるようになる日は来るのか。	絶対来ます！
talk: バイト先の人と大学で会話したとき	身構えますよね
