折れ線の線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n)
散布図にカラーコードの▲マーカーを用いる	plt.plot(xdata, ydata, marker='^', c=rgb)
データフレームの列の各データは何回出現するか見る	df[col].value_counts()
折れ線グラフの丸マーカーを青くする	plt.plot(データ列, データ列2, marker='o', markerfacecolor='b')
データ列がどの程度分散しているか確認する	ds.var()
ファイルパスを文字列の示すエンコーディングで書き込み用にオープンする]	open(filepath, mode='w', encoding=s)
ヒストグラムの色をライトイエローに設定する	plt.hist(データ列, color='lightyellow')
データ列の欠損値を50パーセンタイルで埋める	ds.fillna(ds.median())
黒いバツマーカーをリストとデータ列の散布図に描画する	plt.plot(xdata, ydata, marker='x', c='k')
＜オプション＞グラフの色をダークターコイズにする	color = 'darkturquoise'
折れ線グラフを描画して、その色をダークオレンジに設定する	plt.plot(データ列, データ列2, color='darkorange')
ヒストグラムを描画して、色をダークオーキッドに設定する	plt.hist(データ列, color='darkorchid')
折れ線グラフのスタイルを一点鎖線に設定する	plt.plot(データ列, データ列2, linestyle='dashbot')
データフレームの先頭n行を抽出する	df.head(n)
データフレームの中の列をビン数nを用いてビン分割して、namesのラベルをつける	pd.cut(df[col], n, labels=names)
赤色の右三角マーカーをデータ列とイテラブルについての散布図に描く	plt.plot(xdata, ydata, marker='>', c='r')
リストにリストを加え、拡張する	aList.extend(aList2)
線グラフの色をアリスブルーに設定する	plt.plot(データ列, データ列2, color='aliceblue')
配列を列方向に連結する	np.concatenate([aArray, aArray2], axis=0)
赤いポイントマーカーを折れ線グラフに描画する	plt.plot(データ列, データ列2, marker='.', markerfacecolor='r')
集合をイミュータブルに変換する	frozenset(aSet)
配列の行ごとの最大値	np.max(aArray, axis=1)
プラットホームがウィンドウズか	sys.platform.startswith('win32')
空の両端キュー	collections.deque()
辞書から項目名の値をエラーなく参照する	aDict.get(key, None)
データ列とリストについて散布図を描画してマーカーを▲に設定する	plt.plot(xdata, ydata, marker='^')
折れ線グラフの右三角印を赤くする	plt.plot(データ列, データ列2, marker='>', markerfacecolor='r')
配列とリストについての散布図にカラーコードの丸マーカーを描画する	plt.plot(xdata, ydata, marker='o', c=rgb)
オブジェクトのメモリビュー	memoryview(obj)
折れ線グラフを描画してその色をダークブルーに設定する	plt.plot(データ列, データ列2, color='darkblue')
日付データが木曜日かどうか調べる	aDate.weekday() == 3
文字列の先頭の余分な空白を取り除く	s.lstrip()
実数で数を除する	x / y
データフレームから重複する行を残さず、消す	df.drop_duplicates(keep=False)
カウンタ同士で交わりを求める	aCounter & aCounter2
多い順番にカウンタを列挙する	aCounter.most_common()
リストをヒストグラムを使って可視化する	plt.hist(aList)
二つの文字列をタブで区切ってプリントする	print(value, value2, sep='\t')
リストと配列について散布図を描画する	plt.scatter(xdata, ydata)
カラーコードの星マーカーを用いて散布図を描画する	plt.plot(xdata, ydata, marker='*', c=rgb)
黒い上三角マーカーで散布図を描画する	plt.plot(xdata, ydata, marker='^', c='k')
データフレームの名前リストで指定された列を削除する	df.drop(columns, axis=1)
プロットの色を全般的に色差別なくする	sns.set(pallete='colorblind')
データ列のNaNを最大値で埋める	ds.fillna(ds.max())
二つの辞書を階層化する	collections.ChainMap(aDict, aDict2)
整数nがリストのどれか	n in aList
リストと数列で色差別ないグラフを描画してその線幅をnに変更する	plt.plot(xdata, ydata, linestyle='colorblind', color='r')
リストとイテラブルをペアのリストに変換する	itertools.zip_longest(iterable, iterable2)
データフレームのリストカラムを10の位で丸めて、整数型にする	df[aList].round(-1).astype(int)
ベクトルの次元数	aArray.ndim
分子n、分母mの有理数を作る	fractions.Fraction(numerator=n, denominator=m)
nがn2より大きいかテストする	n > n2
リストを文字列リストに変換して、空白で連結する	' '.join(map(str, iterable))
データ列とデータ列について破線を描画して、その色を暗いに指定する	plt.plot(xdata, ydata, linestyle='dash', color='dark')
辞書をチェーンマップに変換する	collections.ChainMap(aDict)
ヒストグラムを描画して、色をマゼンタに設定する	plt.hist(データ列, color='magenta')
カラムの各データ値の出現回数を求める	df[col].value_counts()
リストとリストについて破線グラフを描画して、その色を淡いに設定する	plt.plot(xdata, ydata, linestyle='dash', color='muted')
数列とリストで明るいグラフを描画して線幅をnにする	plt.plot(xdata, ydata, linestyle='bright', color='r')
グラフのパレットを全般的に淡くする	sns.set(pallete='muted')
折れ線グラフを描画して、その色をライトサーモンに設定する	plt.plot(データ列, データ列2, color='lightsalmon')
折れ線グラフの三角印の線幅をnに変更する	plt.plot(データ列, データ列2, marker='^', markeredgewidth=n)
文字列を改行で分割し、文字列リストに変換する	s.splitlines()
文字列の先頭を使う	s[0]
文字列全体を大文字・小文字を無視して正規表現にマッチさせる	re.fullmatch(pattern, s, flags=re.IGNORECASE)
ヒストグラムの色をスカイブルーに設定する	plt.hist(データ列, color='skyblue')
折れ線グラフを描画して、色をカデットブルーに設定する	plt.plot(データ列, データ列2, color='cadetblue')
ヒストグラムを描画してその色をライトコーラルにする	plt.hist(データ列, color='lightcoral')
行列間の要素ごとの最大公約数	np.gcd(aArray, aArray2)
折れ線グラフの色をホワイトに指定する	plt.plot(データ列, データ列2, color='white')
＜オプション＞タブを区切りで使用する	sep = '\t'
折れ線グラフの色をライトグリーンに設定する	plt.plot(データ列, データ列2, color='lightgreen')
ヒストグラムの色をオレンジに設定する	plt.hist(データ列, color='orange')
小さい順にデータフレームを'A'列と'B'列を用いてソートし、、更新する	df.sort_values(by=['A', 'B'], ascending=True, inplace=True)
データフレームの列の要約統計量	df[col].describe()
＜オプション＞ディープスカイブルーにグラフの色を指定する	color = 'deepskyblue'
色差別ない色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='colorblind')
グラフの描画で淡い色を使う	sns.set(pallete='muted')
ミディアムオーキッド色のヒストグラムを描画する	plt.hist(データ列, color='mediumorchid')
真紅色のヒストグラムを描画する	plt.hist(データ列, color='crimson')
散布図に赤色の大バツマーカーを用いる	plt.plot(xdata, ydata, marker='X', c='r')
グラフのカラーパレットを淡くする	sns.set(pallete='muted')
xが1、もしくは2か調べる	x == 1 or x == 2
イテラブルから重複を取り除く	set(iterable)
ファイル名がCSVファイルか調べる	filename.endswith('.csv')
＜オプション＞シエナに色を変更する	color = 'sienna'
文字列は平仮名か調べる	('ぁ' <= ch <= 'ん')
実行結果を黄色にする	f'\033[33m{value}\033[0m'
データフレームの列と列をドロップする	df.drop([column, column2], axis=1)
ヒストグラムの色をミディアムシアグリーンに設定する	plt.hist(データ列, color='mediumseagreen')
＜オプション＞グラフの色を青緑に設定する	color = 'teal'
ヒストグラムを描画して、その色をダークターコイズに指定する	plt.hist(データ列, color='darkturquoise')
＜オプション＞文字コードをBOM付きにセットする	encoding = 'utf_8_sig'
パステル調のの折れ線グラフの色を赤色に設定する	plt.plot(xdata, ydata, linestyle='pastel', color='r')
カラーコードに棒グラフの色を設定する	plt.bar(ラベル列, データ列, color=rgb)
折れ線にラベルを付ける	plt.plot(xdata, ydata, label=untitled)
折れ線グラフの透明度をalphaに設定する	plt.plot(xdata, ydata, alpha=alpha)
二つの関係が真部分集合か調べる	aSet < aSet2
フォーマットfmtでデータ列を日付データに変換する	pd.to_datetime(ds, format=fmt)
文字列の示す文字コードで既存のファイルを追加できるようにオープンする]	open(filepath, mode='a', encoding=s)
文字列を部分文字列で区切って文字列リストにする	s.split(sub)
カウンタからシーケンスをカウントして引く	aCounter.subtract(iterable)
折れ線グラフを描画して、色を淡いピンク色に設定する	plt.plot(データ列, データ列2, color='lightpink')
文字列を空白で区切って、文字列リストに変換する	s.split()
折れ線グラフの色をグリーンに設定する	plt.plot(データ列, データ列2, color='green')
赤い淡いを描画する	plt.plot(xdata, ydata, linestyle='muted', color='r')
＜オプション＞グラフの色をチョコレートに設定する	color = 'chocolate'
＜オプション＞パールバイオレットレッド色を使う	color = 'palevioletred'
Pandasで、フォーマットfmtでデータフレームのcollを日付データに変換する	pd.to_datetime(df[col], format=fmt)
ゲインズボロ色の線グラフを描画する	plt.plot(データ列, データ列2, color='gainsboro')
行列と同じ大きさの空の行列を作成する	np.empty_like(aArray)
二つの文字列を文字列で区切ってプリントする	print(value, value2, sep=s)
淡いグラフの線幅をnに設定する	plt.plot(xdata, ydata, linestyle='muted', linewidth=n)
データフレームからランダムに一行を取り出す	df.sample()
非小文字が文字列中に含まれる	any(not c.islower() for c in s)
ヒストグラムを描画して、その色をホットピンクに設定する	plt.hist(データ列, color='hotpink')
文字列が全て英数字か確認する	s.isalnum()
折れ線グラフを描画して、その色をライトコーラルに設定する	plt.plot(データ列, データ列2, color='lightcoral')
リストと配列についての散布図に黒い左三角マーカーを描く	plt.plot(xdata, ydata, marker='<', c='k')
データフレームを二つの列の値によってグループ化する	df.groupby(['A', 'B'])
深紅色の線グラフを描画する	plt.plot(データ列, データ列2, color='crimson')
モジュールを検索するパス	sys.path
線グラフを描画して、色をサーモンにセットする	plt.plot(データ列, データ列2, color='salmon')
ヒストグラムの色をミディアムブルーに設定する	plt.hist(データ列, color='mediumblue')
＜オプション＞グラフの色をダークシアグリーンに変更する	color = 'darkseagreen'
ミディアムパープル色のヒストグラムを描画する	plt.hist(データ列, color='mediumpurple')
ふたつの関係が真サブセットかどうか	aSet < aSet2
文字列を走査し正規表現に大文字・小文字を無視してマッチするか見る	re.search(pattern, s, flags=re.IGNORECASE)
データフレームの列の各データ値の出現回数を求める	df[col].value_counts()
データフレームの中の列と列に重複があれば、削除する	df.drop_duplicates(subset=[column, column2])
プロットの描画でパステル調の色を用いる	sns.set(pallete='pastel')
赤い大バツマーカーをリストとイテラブルについての散布図に描画する	plt.plot(xdata, ydata, marker='X', c='r')
データ列を十の位で四捨五入する	ds.round(-1)
データ列の値をValueMapで変更する	ds.replace(ValueMap)
標準入力から1行だけ読み込む	sys.stdin.readline()
折れ線グラフを描画して、その色をミディアムパープルに設定する	plt.plot(データ列, データ列2, color='mediumpurple')
＜オプション＞区切りを使わない	sep = ''
TSVからデータフレームを読む	pd.read_csv(filename, sep='\t', encoding='shift_jis')
データフレームのカラムの未入力値を最小値で置換する	df[col].fillna(df[col].min())
文字列が部分文字列で終了するか調べる	s.endswith(sub)
リストとリストについて破線グラフを描画して、その色をパステル調のに設定する	plt.plot(xdata, ydata, linestyle='dash', color='pastel')
ヒストグラムの色をライトシアンに変更する	plt.hist(データ列, color='lightcyan')
データ列の未入力値を平均値で埋める	ds.fillna(ds.mean())
データフレームの各次元の大きさを調べる	df.shape
列を累積した列	itertools.accumulate(iterable, operator.mul)
グラフの中の日本語フォントを利用可能にする	sns.set(font='IPAexGothic')
nがリストの一つか調べる	n in aList
文字列が文字列リストのいづれか調べる	s in aStringList
nがn2と等しい	n == n2
折れ線グラフを描画して色をダークオーキッドに指定する	plt.plot(データ列, データ列2, color='darkorchid')
データフレームのカラムの空文字をドロップする	df[col].replace('', np.nan).dropna()
オブジェクトにフィールドが存在するか確認する	hasattr(obj, プロパティ名)
＜オプション＞グラフの色をミッドナイトブルーに指定する	color = 'midnightblue'
＜オプション＞シャルトリューズ色を使う	color = 'chartreuse'
複数行対応としてパターンに文字列の先頭でマッチさせる	re.match(pattern, s, flags=re.MULTILINE)
データフレームをTSV形式のファイルから読み込む	pd.read_csv(filename, sep='\t', encoding='utf-8')
プログラムの実行を異常終了する	sys.exit(1)
小数点数のcos	math.cos(x)
ダークゴールデンロッドにヒストグラムの色を設定する	plt.hist(データ列, color='darkgoldenrod')
カーキ色のヒストグラムを描画する	plt.hist(データ列, color='khaki')
ヒストグラムの色をダークグレーに変更する	plt.hist(データ列, color='darkgray')
データ列の未入力値を最大値に設定する	ds.fillna(ds.max())
データ列の欠損値を中央値で埋める	ds.fillna(ds.median())
predicateFuncが真とならないシーケンスの要素	itertools.dropwhile(predicateFunc, iterable)
折れ線グラフを描画して、その色をライトブルーに設定する	plt.plot(データ列, データ列2, color='lightblue')
＜オプション＞グラフの色をタンに設定する	color = 'tan'
日付データが火曜日か調べる	aDate.weekday() == 1
折れ線グラフの左三角マーカーを黄色くする	plt.plot(データ列, データ列2, marker='<', markerfacecolor='y')
文字列の両端から空白を取り除く	s.strip()
カウンタの全数	aCounter.total()
ヒストグラムを描画して、その色をライムグリーンに変更する	plt.hist(データ列, color='limegreen')
既存の配列をベースにして全要素が初期値の配列を作成する	np.full_like(aArray, 初期値)
＜オプション＞トマトを使用する	color = 'tomato'
文字列を赤色でプリントできる文字列に変換する	f'\033[31m{value}\033[0m'
二つのデータフレームを縦に一つにする	pd.concat([df, df2], axis=0)
二つの変数を順にプリントする	print(value, value2)
データフレームから型を取り出す	df.select_dtypes(ty)
データ列を中央値でビンニングする	pd.qcut(ds, 2)
コマンド引数を列挙する	sys.argv[1:]
リストの末尾から要素を取り除く	aList.pop()
明るいグラフを数列とデータ列でプロットし、、その線幅をnに設定する	plt.plot(xdata, ydata, linestyle='bright', linewidth=n)
＜オプション＞線種を破線に変更する	linestyle = 'dashed'
三２ビット整数型のゼロ埋めされた配列を作る	np.zeros(要素数, dtype=np.int16)
データ列とデータ列の散布図を描画して、右三角マーカーの色をカラーコードに設定する	plt.plot(xdata, ydata, marker='>', c=rgb)
nが5の倍数	n % 5 == 0
＜オプション＞グラフの色をミディアムシアグリーンに設定する	color = 'mediumseagreen'
nとn2の和	n + n2
キューが空	len(deq) == 0
データフレームの列を100の位で四捨五入する	df[col].round(-2)
文字列を黄色でプリントできる文字列に変換する	f'\033[33m{value}\033[0m'
折れ線グラフに描画して、印を▲印にする	plt.plot(データ列, データ列2, marker='^')
ヒストグラムを描画して、その色をダークオリーブグリーンに設定する	plt.hist(データ列, color='darkolivegreen')
重複した行だけを抽出する	df[df.duplicated(keep=False)]
文字列がタプルの要素でないか調べる	element not in aTuple
ヒストグラムの色をパールゴールデンロッドに変更する	plt.hist(データ列, color='palegoldenrod')
散布図を赤い下三角マーカーで描画する	plt.plot(xdata, ydata, marker='v', c='r')
カウンタの最頻出な値	aCounter.most_common()[0]
文字列が全て大文字か	s.isupper()
スノー色の線グラフを描画する	plt.plot(データ列, データ列2, color='snow')
ヒストグラムを描画して、その色をイエローグリーンに設定する	plt.hist(データ列, color='yellowgreen')
データ列が何曜日か見る	ds.dt.weekday_name
値を太字でプリントする	print(f'\033[1m{value}\033[0m')
集合から全ての要素を取り除く	aSet.clear()
ヒストグラムを描画して色をライトグリーンに指定する	plt.hist(データ列, color='lightseagreen')
改行で文字列を区切り、文字列リストに変換する	s.splitlines()
最大長nの双方向キューを作る	collections.deque(maxlen=n)
データフレームの列を正規表現でまとめて置き換える	df[col].replace(pattern, repl, regex=True)
複数カラムの散布図を一度に描画する	sns.pairplot(df[[column, column2, column3]])
文字列が正規表現にマッチさせる	re.match(pattern, s)
折れ線グラフに赤い三角マーカーを描画する	plt.plot(データ列, データ列2, marker='^', markerfacecolor='r')
折れ線グラフの印を大バツにする	plt.plot(データ列, データ列2, marker='X')
折れ線グラフを描画してその色をコーンズシルクに指定する	plt.plot(データ列, データ列2, color='cornsilk')
ヒストグラムを描画して、色をダークサーモンにする	plt.hist(データ列, color='darksalmon')
日付時刻データからn時間を減算する	aDatetime - datetime.timedelta(hours=n)
自分自身をモジュールとして	sys.modules[__name__]
文字列の開始位置からと終了位置の範囲に部分文字列が含まれるか調べる	s.find(sub, start, end) != -1
文字列中の大文字を小文字にする	s.lower()
線グラフを描画して、色をオリベドラブに設定する	plt.plot(データ列, データ列2, color='olivedrab')
折れ線グラフの色をパープルに変更する	plt.plot(データ列, データ列2, color='purple')
ファイルが存在するか	os.path.exists(filepath)
データフレームのカラムは何分か確認する	df[col].dt.minute
NULLに等しい値	None
小数点数の二進対数	math.log2(x)
数列をy座標、数列を横軸と指定して、折れ線グラフをプロットする	plt.plot(xdata, ydata)
実数のn乗を求める	x ** n
実数とyの斜辺	math.hypot(x, y)
リストとリストとして濃いグラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linestyle='deep', linewidth=n)
データフレームのカラムのpercent分位数	df[col].quantile(percent/100)
データ列を折れ線グラフに描画して印を四角にする	plt.plot(データ列, データ列2, marker='s')
折れ線グラフを描画して、その色をトマトに変更する	plt.plot(データ列, データ列2, color='tomato')
集合を更新不能な集合に変換する	frozenset(aSet)
ヒストグラムを描画してその色をミディアムブルーにする	plt.hist(データ列, color='mediumblue')
JSONファイルファイル名がか調べる	filename.endswith('.json')
＜オプション＞グラフの色をインディゴに設定する	color = 'indigo'
第２引数のファイルの名前	sys.argv[1]
折れ線グラフを描画して、その色をレベッカパープルに設定する	plt.plot(データ列, データ列2, color='rebeccapurple')
タイムスタンプを使う	import time
n個の整数リスト	list(range(n))
ヒストグラムを描画して、その色をサンディーブラウンに設定する	plt.hist(データ列, color='sandybrown')
要素が辞書の値に含まれていない	element not in aDict.values()
データフレームの各グループの標準偏差	df.groupby(column).std()
線グラフを描画して、色をディムグレーに設定する	plt.plot(データ列, データ列2, color='dimgray')
折れ線グラフを描画して、色をダークグレーに指定する	plt.plot(データ列, データ列2, color='darkgray')
折れ線グラフの色をタンにセットする	plt.plot(データ列, データ列2, color='tan')
文字列の中のケースを無視してパターンによる全てのマッチを求める	re.findall(pattern, s, flags=re.IGNORECASE)
＜オプション＞文字コードtextを使う	encoding = text
データフレームの中に存在する日付データと文字列の合計を数える	df.isin([value, value2]).sum()
データフレームの中の列と列に重複があれば、取り除く	df.drop_duplicates(subset=column)
Pandasで、エポック秒のデータ列から日付データに変換する	pd.to_datetime(ds, unit='s', utc=True)
タプルの最後からn番目以前の部分を取り出す	aTuple[:-n]
変数がマイナス無限大に近づく場合、数式の極限値を算出する	sympy.limit(e, z, -oo)
ファイルをバイナリ用にオープンして]fとする	f = open(filepath, mode='rb')
文字列の末尾からタブを消す	s.rstrip('\t')
文字列の右側から空白を取り除く	s.rstrip(' ')
タプルを反転する	reversed(aTuple)
プロットの凡例の位置を(x,y)に指定する	plt.legend(loc=(x, y))
明るいの折れ線の線幅をnに変更する	plt.plot(xdata, ydata, linestyle='bright', linewidth=n)
データ列の中に存在する文字列の合計を求める	ds.isin([value]).sum()
データフレームを'A'列で並べてNaNを先頭に来るようにする	df.sort_values(by='A', na_position='first')
折れ線グラフのマーカーを▽印にする	plt.plot(データ列, データ列2, marker='v')
セットからエラーなく要素を取り除く	aSet.discard(element)
ヒストグラムを描画して、色をダークスラテグレーに設定する	plt.hist(データ列, color='darkslategray')
イテラブルから新しいカウンタを作成する	collections.Counter(iterable)
＜オプション＞暗い赤色を使う	color = 'darkred'
＜オプション＞スレートブルーにグラフの色を設定する	color = 'slateblue'
文字列を白色でプリントする	print(f'\033[37m{value}\033[0m')
データフレームのカラムは何曜日か見る	df[col].dt.weekday_name
グラフをパステル調にする	sns.set(pallete='pastel')
ヒストグラムの色をダークグレーに設定する	plt.hist(データ列, color='darkgray')
データフレームのリスト列の欠損値を最小値に変更する	df[aList].fillna(df[aList].min())
リストを横軸と指定して、折れ線グラフを描画する	plt.plot(range(len(xdata)), xdata)
列を等量でn個にビニングする	pd.qcut(ds, n)
データフレームを各列毎にグループ化し、、文字列というグループの個数を求める	df.groupby(column).size()[s]
replにデータフレームの値を正規表現patternで変更する	df.replace(pattern, repl, regex=True)
ガンマ関数の値	math.gamma(x)
折れ線グラフの色をシャルトリューズに指定する	plt.plot(データ列, データ列2, color='chartreuse')
シーケンスのイミュータブルなセット	frozenset(iterable)
＜オプション＞エンコーディングをSJISに設定する	encoding = 'shift_jis'
データフレームを列によって集計して分散を求める	df.groupby(column).var()
線グラフを描画してその色をスラグレーに設定する	plt.plot(データ列, データ列2, color='slategrey')
文字列が空白文字か	s.isspace()
文字列を太文字でプリントできる文字列にする	f'\033[1m{value}\033[0m'
配列を2次元1行に変形する	aArray.reshape(1, -1)
折れ線グラフを描画してその色をライトグリーンに設定する	plt.plot(データ列, データ列2, color='lightgreen')
＜オプション＞スチールブルー色を使う	color = 'steelblue'
パステル調の色のマーカーとして散布図を描画する	plt.plot(xdata, ydata, c='pastel')
＜オプション＞ダークカーキ色を使用する	color = 'darkkhaki'
折れ線グラフの色をグレーに設定する	plt.plot(データ列, データ列2, color='grey')
こんにちは世界を出力する	print('Hello World')
nがn2より小さいか	n < n2
データ列とリストについて散布図を描画し、、ダイアモンドマーカーの色をカラーコードに変更する	plt.plot(xdata, ydata, marker='D', c=rgb)
日付データからn週間分、減算する	aDate - datetime.timedelta(weeks=n)
集合から別の集合の要素を全て取り除く	aSet.difference_update(aSet2)
データ列の未入力値を直後の値に指定する	ds.fillna(method='bfill')
日付データにn日分、加算する	aDate + datetime.timedelta(days=n)
カウンタの値を増やす	aCounter[element] += 1
棒グラフを積み上げにする	"plt.bar(ラベル列, データ列, bottom=データ列2, color=""red"")"
項目名がマップに存在しない時要素を追加する	aDict.setdefault(key, element)
アリスブルーにヒストグラムの色をする	plt.hist(データ列, color='aliceblue')
散布図を赤い大バツマーカーで描く	plt.plot(xdata, ydata, marker='X', c='r')
変数名をキーとして、辞書	dict(name=element)
線グラフを描画して色をコーンズシルクに変更する	plt.plot(データ列, データ列2, color='cornsilk')
マップの内部も複製する	{k: copy.copy(v) for k, v in aDict.items()}
データフレームのリスト列の相関行列	df[aList].corr()
データフレームの欠損値を後の行の値に変更する	df.fillna(method='bfill')
データフレームの列が文字列が含まれる行を取り出す	df[df[column].str.contains(s)]
データフレームを各列と列の組み合わせ毎にグループ化し、、最大値を算出する	df.groupby([column, column2], as_index=False).max()
折れ線グラフの下三角マーカーを緑色にする	plt.plot(データ列, データ列2, marker='v', markerfacecolor='g')
小数点数の自然対数	math.log(x)
オブジェクトのイテレータ	iter(obj)
クラスが名前付きタプルか調べる	issubclass(C, tuple)
スピアマン相関係数でデータフレームの相関行列	df.corr(method='spearman')
折れ線グラフの色をホットピンクに設定する	plt.plot(データ列, データ列2, color='hotpink')
二つの列の値でデータフレームをグループ化して、列挙する	[(name, group) for name, group in df.groupby(['A', 'B'])]
ヒストグラムをstartからendまでの区間で描画する	plt.hist(データ列, range=(start, end))
ファイルをバイナリモードでオープンする]	open(filepath, mode='rb')
＜オプション＞グラフの色をミントクリームに設定する	color = 'mintcream'
データフレームの列の欠損値を最頻値で埋める	df[col].fillna(df[col].mode().iloc[0])
リストのn番目に文字列を挿入する	aList.insert(n, element)
文字列の先頭から空白を取り除く	s.lstrip()
列をキーにして二つのデータフレームを内部結合する	pd.merge(df, df2, on=column, how='inner')
＜オプション＞菱形マーカーを描画する	marker = 'D'
線グラフを描画して、色をライトゴールドロディイエローに変更する	plt.plot(データ列, データ列2, color='lightgoldenrodyellow')
列を集合に追加する	aSet.update(iterable)
文字列の色でリストとリストの折れ線グラフをプロットする	plt.plot(xdata, ydata, color=s)
＜オプション＞グラフの色を暗い赤に指定する	color = 'darkred'
ヒストグラムを実線を用いて描画する	plt.hist(データ列, linestyle='solid')
＜オプション＞ロージーブラウンにグラフの色を設定する	color = 'rosybrown'
折れ線グラフのバツマーカーを黄色くする	plt.plot(データ列, データ列2, marker='x', markerfacecolor='y')
二つのデータフレームを異なる列をキーとして左結合する	pd.merge(df, df2, left_on=column, right_on=column2, how='left')
データフレームを1000の位で丸めて、整数にする	df.round(-3).astype(int)
マップの項目名を列挙する	aDict.keys()
リストとリストについての散布図に右三角マーカーを描画する	plt.plot(xdata, ydata, marker='>')
フローラルホワイトにヒストグラムの色を設定する	plt.hist(データ列, color='floralwhite')
線グラフを描画してその色をサドルブラウンに指定する	plt.plot(データ列, データ列2, color='saddlebrown')
データフレームのカラムの時	df[col].dt.hour
データ列を四捨五入して、整数にする	ds.round().astype(int)
日付時刻データが日付時刻データより前	aDatetime < aDatetime2
データ列の欠損値を最小値で埋める	ds.fillna(ds.min())
実数の逆正接を求める	math.atan(x)
縦方向に二つのデータフレームを合体させる	pd.concat([df, df2], axis=0)
＜オプション＞グラフの色を淡い茶色に設定する	color = 'tan'
列にイテラブルを続ける	itertools.chain(iterable, iterable2)
文字列中に部分文字列が含まれるか調べる	sub in s
nからn2の範囲	range(n, n2)
データフレームの列がxより大きくx2より小さい行を抽出する	df[(x < df[column]) & (df[column] < x2)]
実数を浮動小数点数で割って、切り捨てる	x // y
３つの数値をプリントする	print(value, value2, value3)
集合のすべての要素が別の集合に含まれるか調べる	aSet.issubset(aSet2)
折れ線グラフを描画してその色をラベンダーに設定する	plt.plot(データ列, データ列2, color='lavender')
ダークオレンジ色のヒストグラムを描画する	plt.hist(データ列, color='darkorange')
破線の色を色差別ないに変更する	plt.plot(xdata, ydata, linestyle='dash', color='colorblind')
数列とイテラブルで暗いの折れ線を描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linestyle='dark', linewidth=n)
今日が月曜日か調べる	datetime.datetime.today().weekday() == 0
値を集合から取り除く	aSet.remove(element)
文字列がタプルの要素でないかどうか	element not in aTuple
