option: 赤色を使う	color = 'red'
ヒストグラムをグリーン色で描画する	plt.hist(データ列, color='green')
でデータフレームの一部の列の相関行列を算出する	df[['列A', '列B']].corr(method='kendall')
データフレームの指定したカラムの値を正規表現patternでまとめてreplに置き換える	df['列A'].replace(pattern, repl, regex=True)
データフレームをロジスティック回帰付き散布図にする	sns.regplot(x='列名', y='列名', data=df, logistic=True)
データフレームをインデックスによって降順でソートする	df.sort_index(ascending=False)
ファイルをバイナリモードでオープンする]	open(filepath, mode='rb')
リストを等量でビン数nでビン分割する	pd.qcut(aList, n)
nがn2よりも小さいかどうか調べる	n < n2
ペアリストpairsからカウンタを作る	collections.Counter(dict(pairs))
文字列の中の正規表現による全てのマッチを使う	re.findall(pattern, s)
文字列を代数計算の変数に変換する	sympy.Symbol(s)
option: マーカーの色をダーク・スラテグレーにする	markerfacecolor = 'darkslategrey'
散布図の印を三角にする	plt.scatter(データ列x, データ列y, marker='^')
実数を千の位で四捨五入する	round(x, -3)
文字列を区切りで区切って文字列リストに変換する	s.split(sep)
オプションで、標準出力を出力にする	file = sys.stdout
散布図にrgbの菱形マーカーを用いる	plt.plot(データ列x, データ列y, marker='D', c=rgb)
SVDで淡く次元に次元削減する	sklearn.decomposition.TruncatedSVD(n_components=三).fit_transform(多次元データ)
実数の自然対数	math.log(x)
0からnまでの整数列を作る	list(range(n+1))
日付時刻データの年を使う	aDatetime.year
名前からカラーマップを使う	"plt.get_cmap(""カラーマップ名"")"
散布図のマーカーの大きさを指定する	plt.scatter(データ列x, データ列y, s=n)
option: バッファリングのサイズを設定する	buffering = 4096
ライトスチールブルー色の散布図を描画する	plt.scatter(データ列x, データ列y, color='lightsteelblue')
リストの先頭の要素を求める	aList[0]
円グラフを時計回りに描画する	plt.pie(データ列, startangle=90, counterclock=False)
散布図に星マーカーを使う	plt.plot(データ列x, データ列y, marker='*')
文字を文字コードに変換する	ord(ch)
option: ディープスカイブルー色を使う	color = 'deepskyblue'
有理数モジュールをインポートする	import fractions
データフレームの列の名前を付け直す	df.rename(columns={'列A': '列a', '列B': '列b'})
横棒グラフをイエローグリーン色として描画する	plt.barh(データ列x, データ列y, color='yellowgreen')
折れ線グラフをペールグリーン色で描画する	plt.plot(データ列x, データ列y, color='palegreen')
線グラフの色をプラムに設定する	plt.plot(データ列x, データ列y, color='plum')
配列とリストについて散布図を描画し、、文字列という凡例用のラベルを付ける	plt.scatter(データ列x, データ列y, label=s)
ダークスレートブルー色の散布図を描画する	plt.scatter(データ列x, データ列y, color='darkslateblue')
バイオリン図をプロットする	sns.violinplot(x='カテゴリ列', y='列', data=df)
整数nの十六進表現を使う	hex(n)
線グラフの色をゴールデンロッドに変更する	plt.plot(データ列x, データ列y, color='goldenrod')
ふたつのマップを結合する	aDict | aDict2
option: ヘッダを自動的な連番に設定する	header = None
茶色色の折れ線グラフを描画する	plt.plot(データ列x, データ列y, color='brown')
ヒストグラムの色をアンティークホワイトに変更する	plt.hist(データ列, color='antiquewhite')
option: ライトグレー色を使用する	color = 'lightgrey'
折れ線グラフをフォレストグリーン色で描画する	plt.plot(データ列x, データ列y, color='forestgreen')
クラスが名前付きタプル	issubclass(C, tuple)
データフレームの列の種類	df.info()
グリーン色の線グラフを描画する	plt.plot(データ列x, データ列y, color='green')
折れ線グラフを半透明の点線で描画する	plt.plot(データ列x, データ列y, linestyle='dotted', alpha=0.5)
option: レモンシフォン色を使う	color = 'lemonchiffon'
カウンタの項目を増やす	aCounter[element] += 1
ある列の文字列が正規表現にマッチする行を抽出する	df[df['列A'].str.match(正規表現)]
option: データ型として符号なし８ビット整数型を使う	dtype = np.uint8
横棒グラフをミスティローズ色で描画する	plt.barh(データ列x, データ列y, color='mistyrose')
表のインデックスの名前を全て付け直す	df.rename(index={x: y})
ペールグリーン色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='palegreen')
最大値・最小値で整数乱数を求める	random.randint(最小値, 最大値)
データフレームの指定したカラムを丸める	df['列A'].round()
option: シーグリーン色を使う	color = 'seagreen'
データフレームの散布図にロジスティック回帰を加える	sns.regplot(x='列名', y='列名', data=df, logistic=True)
散布図をシスル色で描画する	plt.scatter(データ列x, データ列y, color='thistle')
散布図に黒い大バツ印を描画する	plt.scatter(データ列x, データ列y, marker='X', markerfacecolor='k')
配列と配列についての散布図に黒い▽マーカーを描画する	plt.plot(データ列x, データ列y, marker='v', c='k')
ヒストグラムをミディアムシアグリーン色として描画する	plt.hist(データ列, color='mediumseagreen')
データフレームの列をヒストグラムで描画する	plt.hist(df[column])
マップのキーとその値をペアとして取り出す	aDict.items()
データフレームの一部のカラムの中にいくつ欠損値があるか数える	df[['列A', '列B']].isna().sum()
配列の調和平均	scipy.stats.hmean(配列)
option: フォントの色をアンティークホワイトにセットする	color = 'antiquewhite'
オブジェクトのハッシュ値を算出する	hash(obj)
option: ドジャーブルーにフォントの色を変更する	color = 'dodgerblue'
ヒストグラムをダークサーモン色として描画する	plt.hist(データ列, color='darksalmon')
ライトイエロー色のヒストグラムを描画する	plt.hist(データ列, color='lightyellow')
ヒストグラムをミディアムターコイズ色で描画する	plt.hist(データ列, color='mediumturquoise')
option: 説明変数を事前に正規化する	normalize = True
ロイヤルブルーにヒストグラムの色を設定する	plt.hist(データ列, color='royalblue')
データフレームをグループ化し、それぞれの平均値を求める	df.groupby('列A').mean()
棒グラフをライトグレー色を用いて描画する	plt.bar(データ列x, データ列y, color='lightgray')
ヒストグラムの色をレベッカパープルに設定する	plt.hist(データ列, color='rebeccapurple')
ヒストグラムをライム色として描画する	plt.hist(データ列, color='lime')
データフレームの指定したカラムの文字列を欠損値にする	df['列A'].replace(値, np.nan)
散布図の色をロージーブラウンにする	plt.scatter(データ列x, データ列y, color='rosybrown')
分数の分子	q.numerator
nの無限なリストを得る	itertools.repeat(n)
散布図をマゼンタ色で描画する	plt.scatter(データ列x, データ列y, color='magenta')
横棒グラフをミスティローズ色を使って描画する	plt.barh(データ列x, データ列y, color='mistyrose')
文字列中の片仮名をひらがなに変換する	''.join([chr(ord(ch) - 96) if ('ァ' <= ch <= 'ン') else ch for ch in s])
グラフのカラーパレットを指定する	sns.set(pallete=パレット名)
濃いシアン色の散布図を描画する	plt.scatter(データ列x, データ列y, color='darkcyan')
折れ線グラフをアクアマリン色で描画する	plt.plot(データ列x, データ列y, color='aquamarine')
データフレームの指定したカラムの欠損値を前の行の値に設定する	df['列A'].fillna(method='ffill')
データフレームのカラムの各データ値の出現数を求める	df[col].value_counts()
option: ラベンダーブラッシュ色を使う	color = 'lavenderblush'
辞書からキーで指定された項目をポップする	aDict.pop(key)
星マーカーでデータ列の折れ線グラフを描画する	plt.plot(データ列x, データ列y, marker='*')
FIXME:カテゴリーデータを出現頻度順にソートする	df['列A'].value_counts().sort_index().index
データフレームをCSVファイルに小数点以下3桁まで保存する	df.to_csv('file.csv', float_format='%.3f')
散布図の色をペールグリーンにする	plt.scatter(データ列x, データ列y, color='palegreen')
配列の歪度を求める	scipy.stats.skew(配列, bias=False)
グラフにy=0の破線を付ける	plt.axhline(y=0, linestyle='dashed')
ファイルの絶対ファイルパス	os.path.abspath(filepath)
option: エンコーディングを文字列の示す文字コードにする	encoding = s
イテラブルから重複なく、n要素ランダムに選ぶ	random.sample(iterable, k=n)
データフレームの選択したカラムの欠損値を中央値で埋める	df[['列A', '列B']].fillna(df[['列A', '列B']].median())
本日が日曜日かどうか調べる	datetime.datetime.today().weekday() == 6
散布図をライトスレイグレー色を用いて描画する	plt.scatter(データ列x, データ列y, color='lightslategray')
文字列中の平仮名を片仮名に変換する	''.join([chr(ord(ch) + 96) if ('ぁ' <= ch <= 'ん') else ch for ch in s])
マゼンタ色の線グラフを描画する	plt.plot(データ列x, データ列y, color='magenta')
ポイント印で散布図を描画する	plt.scatter(データ列x, データ列y, marker='.')
データフレームの棒プロットをカテゴリごとに縦横に並べる	sns.catplot(kind='bar', y='列名', col='カテゴリ名', row='カテゴリ名', data=df)
option: グラフの色をロージーブラウンに設定する	color = 'rosybrown'
インディゴ色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='indigo')
データフレームを書き出す	df.to_csv('file.csv')
ベージュ色の折れ線グラフを描画する	plt.plot(データ列x, データ列y, color='beige')
列のUNIX秒を日付データに変換する	pd.to_datetime(df['列A'], unit='s', utc=True)
折れ線グラフをゴーストホワイト色で描画する	plt.plot(データ列x, データ列y, color='ghostwhite')
データフレームをある列でグループ化して、グループ名で取り出す	df.groupby('列A').get_group(グループ名)
データシリーズが何年か知る	ds.dt.year
黒い三角マーカーを配列とリストについての散布図に描画する	plt.plot(データ列x, データ列y, marker='^', c='k')
ダークグレー色で散布図を描画する	plt.scatter(データ列x, データ列y, color='darkgray')
モデルの残差をヒストグラムにする	plt.hist(目的変数 - model.predict(説明変数))
実数の整数部を求める	math.modf(x)[1]
データフレームを百の位で丸めて、整数型にする	df.round(-2).astype(int)
第二引数で指定されたファイルの名前	sys.argv[1]
イテラブルとイテラブルについての散布図に星マーカーを描画する	plt.plot(データ列x, データ列y, marker='*')
配列を中央値で分割する	pd.qcut(aArray, 2)
縦棒グラフの色をミディアムスプリンググリーンにする	plt.bar(データ列x, データ列y, color='mediumspringgreen')
eの実数乗	math.exp(x)
JSON形式のバイト列を辞書に変換する	json.loads(b.decode('unicode-escape'))
散布図のクロス印の色を変更する	plt.scatter(データ列x, データ列y, marker='x', markerfacecolor='#800080')
散布図の色をスプリンググリーンにする	plt.scatter(データ列x, データ列y, color='springgreen')
マゼンタ色の縦棒グラフを描画する	plt.bar(データ列x, データ列y, color='magenta')
配列とリストについて散布図を描画して、マーカーを大バツに設定する	plt.plot(データ列x, データ列y, marker='X')
組の中の最小値を算出する	min(aTuple)
ボックスチャートを描画して平均線を追加する	plt.boxplot(データ列, meanline=True)
option: 紺碧色を使う	color = 'azure'
棒グラフの色をフォレストグリーンにする	plt.bar(データ列x, データ列y, color='forestgreen')
データフレームをにバイオリン図で可視化する	sns.violinplot(x='カテゴリ列', y='列', data=df)
散布図をダークグリーン色で描画する	plt.scatter(データ列x, データ列y, color='darkgreen')
折れ線グラフを淡いピンク色色で描画する	plt.plot(データ列x, データ列y, color='lightpink')
真紅色で横棒グラフを描画する	plt.barh(データ列x, データ列y, color='crimson')
データフレームから数値データの列を取り出す	df.select_dtypes('number')
棒グラフをスカイブルー色を用いて描画する	plt.bar(データ列x, データ列y, color='skyblue')
散布図の大バツマーカーを青色にする	plt.scatter(データ列x, データ列y, marker='X', markerfacecolor='b')
データシリーズの中に文字列があるか調べる	ds.isin([value])
イテラブルから配列を作る	np.array(iterable)
オプションで、出力先を標準エラーに変更する	file = sys.stderr
文字列が全て英数字か調べる	s.isalnum()
サーモン色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='salmon')
棒グラフをパパイヤウィップ色として描画する	plt.bar(データ列x, データ列y, color='papayawhip')
option: マゼンタ色を使う	color = 'magenta'
データフレームのある列の値がxに等しくない行を抽出する	df[df['列A'] != x]
イテラブルとイテラブルをペアリングする	itertools.zip_longest(iterable, iterable2)
横棒グラフをパープル色で描画する	plt.barh(データ列x, データ列y, color='purple')
横棒グラフをカデットブルー色を用いて描画する	plt.barh(データ列x, データ列y, color='cadetblue')
シスル色で折れ線グラフを描画する	plt.plot(データ列x, データ列y, color='thistle')
縦棒グラフを赤くする	plt.bar(データ列x, データ列y, color='r')
option: 線の種類を破線に設定する	linestyle = 'dashed'
ヒストグラムをダークオーキッド色を用いて描画する	plt.hist(データ列, color='darkorchid')
縦棒グラフの色をディープスカイブルーにする	plt.bar(データ列x, データ列y, color='deepskyblue')
データフレームのある列	df['列A']
散布図にrgbのバツマーカーを使う	plt.plot(データ列x, データ列y, marker='x', c=rgb)
ミディアムスプリンググリーン色の線グラフを描画する	plt.plot(データ列x, データ列y, color='mediumspringgreen')
折れ線グラフの色をライムに設定する	plt.plot(データ列x, データ列y, color='lime')
文字列から日付時刻に変換する	datetime.datetime.fromisoformat(日付の書かれた文字列)
JSONL形式のファイルからデータフレームを読み込む	pd.read_json(filename, orient='records', lines=True)
散布図をロイヤルブルー色で描画する	plt.scatter(データ列x, データ列y, color='royalblue')
折れ線グラフをプラム色で描画する	plt.plot(データ列x, データ列y, color='plum')
ベクトルの最大値を調べる	np.max(aArray)
option: マーカーの色をピーチパフにする	markerfacecolor = 'peachpuff'
アクア色でヒストグラムを描画する	plt.hist(データ列, color='aqua')
散布図の色を青緑にする	plt.scatter(データ列x, データ列y, color='teal')
データフレームの選択したカラムの母標準偏差を求める	df[['列A', '列B']].std(ddof=0)
両端キューの先頭にイテラブルの各値を追加する	deq.extendleft(iterable)
nとn2の排他的論理和	n ^ n2
イテラブルを文字列リストに変換して、カンマで連結する	','.join(map(str, iterable))
散布図の色をミッドナイトブルーにする	plt.scatter(データ列x, データ列y, color='midnightblue')
ヒストグラムの色をローングリーンに設定する	plt.hist(データ列, color='lawngreen')
名前付きタプルを定義する	C = collections.namedtuple('クラス名', プロパティ名)
スプリンググリーン色の縦棒グラフを描画する	plt.bar(データ列x, データ列y, color='springgreen')
bとn2から成るペア	(n, n2)
エクセルファイルからデータフレームを読み込む	pd.read_excel('file.xlsx')
ふたつの集合が互いに素か調べる	aSet.isdisjoint(aSet2)
明日の日付	datetime.date.today() + datetime.timedelta(days=1)
リストとリストについての散布図に赤い右三角マーカーを描画する	plt.plot(データ列x, データ列y, marker='>', c='r')
ファイルからバイナリ書き込みストリームをオープンして]、fとする	f = open(filepath, mode='wb')
散布図を青緑色で描画する	plt.scatter(データ列x, データ列y, color='teal')
横棒グラフの色をライトシアンにする	plt.barh(データ列x, データ列y, color='lightcyan')
柱状図でデータ列を可視化する	plt.hist(データ列)
配列の尖度を求める	scipy.stats.kurtosis(配列, bias=False)
棒グラフの色をサンディーブラウンにする	plt.bar(データ列x, データ列y, color='sandybrown')
折れ線グラフをダークスラテグレー色で描画する	plt.plot(データ列x, データ列y, color='darkslategray')
option: フォントの色をカデットブルーに変更する	color = 'cadetblue'
KNNで回帰分析を行う	model = sklearn.neighbors.KNeighborsRegressor(n_neighbors=5)
option: アクアマリン色を使う	color = 'aquamarine'
横棒グラフをローングリーン色で描画する	plt.barh(データ列x, データ列y, color='lawngreen')
nがセットのひとつか調べる	n in aSet
ヒストグラムの色を白に設定する	plt.hist(データ列, color='white')
ビスク色の散布図を描画する	plt.scatter(データ列x, データ列y, color='bisque')
データフレームの指定したカラムの標準偏差	df['列A'].std()
配列の値が正規分布にしたがって発生する累積確率を計算する	scipy.stats.norm.cdf(配列, loc=平均値, scale=標準偏差)
散布図に黒い四角マーカーを使う	plt.plot(データ列x, データ列y, marker='s', c='k')
八進文字列を整数に変換する	int(s, 8)
リネン色で棒グラフを描画する	plt.bar(データ列x, データ列y, color='linen')
散布図をダークオレンジ色で描画する	plt.scatter(データ列x, データ列y, color='darkorange')
ダークオリーブグリーン色で散布図を描画する	plt.scatter(データ列x, データ列y, color='darkolivegreen')
散布図のマーカーを黒くする	plt.scatter(データ列x, データ列y, markerfacecolor='k')
チョコレート色の折れ線グラフを描画する	plt.plot(データ列x, データ列y, color='chocolate')
縦棒グラフを白くする	plt.bar(データ列x, データ列y, color='w')
変数について数式のインテグラルを計算する	sympy.integrate(e, z)
散布図に青い三角マーカーを描画する	plt.scatter(データ列x, データ列y, marker='^', markerfacecolor='b')
option: グラフの色をリネンに設定する	color = 'linen'
配列を分割数nで分割して、namesのラベルをつける	pd.cut(aArray, n, labels=names)
文字列が全て数字か調べる	s.isdigit()
横軸の目盛に文字列を付ける	plt.xticks([0, 60, 90], ['不可', '可', '秀'])
折れ線グラフの左三角マーカーを青くする	plt.plot(データ列x, データ列y, marker='<', markerfacecolor='b')
nが一桁の数か調べる	-9 <= n <= 9
オブジェクトは集合クラスのインスタンスか調べる	isinstance(obj, set)
option: どのカラムも行に設定しない	index_col = None
データシリーズを十の位で丸めて、整数にする	ds.round(-1).astype(int)
横軸の目盛りに文字列を付ける	plt.xticks([0, 60, 90], ['不可', '可', '秀'])
折れ線グラフに赤い三角マーカーを描画する	plt.plot(データ列x, データ列y, marker='^', markerfacecolor='r')
ヒストグラムをコーンフラワーブルー色として描画する	plt.hist(データ列, color='cornflowerblue')
棒グラフの色をミッドナイトブルーにする	plt.bar(データ列x, データ列y, color='midnightblue')
グレーにヒストグラムの色を設定する	plt.hist(データ列, color='grey')
アクア色で散布図を描画する	plt.scatter(データ列x, データ列y, color='aqua')
折れ線グラフの色を青に設定する	plt.plot(データ列x, データ列y, color='blue')
データフレームをソートし、、インデックスを振り直す	df.sort_values('キーとなる列').reset_index(drop=True)
タブ	'\t'
文字列をマゼンタにする	f'\033[35m{value}\033[0m'
青緑色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='turquoise')
クラス分類の偽陰性をヒートマップで見る	sns.heatmap(confusion_matrix(正解データ列, 予測データ列), annot=True, cmap='Reds')
データフレームの先頭100行	df.head(100)
プラットホームのバイトオーダを知る	sys.byteorder
整数nがセットのどれかか調べる	n in aSet
散布図をアリスブルー色として描画する	plt.scatter(データ列x, データ列y, color='aliceblue')
option: ダークオリーブグリーン色を用いる	color = 'darkolivegreen'
リストの最後からn番目以前の要素を取り出す	aList[:-n]
双方向キューの中に要素が含まれてるか調べる	element in deq
option: 色をミディアムパープルに変更する	color = 'mediumpurple'
ゼロ埋めされた行列	np.zeros(行数, 列数)
散布図の三角マーカーを黒くする	plt.scatter(データ列x, データ列y, marker='^', markerfacecolor='k')
リストのn番目以降の部分を取り出す	aList[n:]
カデットブルー色の折れ線グラフを描画する	plt.plot(データ列x, データ列y, color='cadetblue')
文字列を部分文字列で二分し、残りの文字列を見る	s.partition(sub)[-1]
文字列の先頭から空白を取り除く	s.lstrip()
表データから列を3つだけ選択する	df[['列A', '列B', '列C']]
両端キューの先頭に要素を追加する	deq.appendleft(element)
ブラック色の棒グラフを描画する	plt.bar(データ列x, データ列y, color='black')
配列とリストについて散布図をプロットして左三角マーカーの色をrgbに変更する	plt.plot(データ列x, データ列y, marker='<', c=rgb)
データ列を等量でビン数nで分割する	pd.qcut(ds, n)
NaNも加えてデータフレームのある列をダミー変数に変換する	pd.get_dummies(df['列A'], dummy_na=True)
タイムスタンプデータををn秒後に進める	aDatetime + datetime.timedelta(seconds=n)
棒グラフの色をミディアムブルーにする	plt.bar(データ列x, データ列y, color='mediumblue')
パールバイオレットレッド色で横棒グラフを描画する	plt.barh(データ列x, データ列y, color='palevioletred')
赤い丸マーカーで散布図を描画する	plt.plot(データ列x, データ列y, marker='o', c='r')
データフレームの列を説明変数にする	説明変数 = df[['列名', '列名2']]
散布図の星印の線幅を変更する	plt.scatter(データ列x, データ列y, marker='*', markeredgewidth=2.5)
ヒストグラムと勾配ブースティングで回帰分析をする	model = sklearn.ensemble.HistGradientBoostingRegressor()
ヒストグラムの色をアクアマリンに設定する	plt.hist(データ列, color='aquamarine')
散布図に四角マーカーを用いる	plt.plot(データ列x, データ列y, marker='s')
棒グラフの色をリネンにする	plt.bar(データ列x, データ列y, color='linen')
ホワイトスモーク色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='whitesmoke')
散布図の色をスラグレーにする	plt.scatter(データ列x, データ列y, color='slategray')
散布図の色をコーラルにする	plt.scatter(データ列x, データ列y, color='coral')
配列のデータ型	aArray.dtype()
データフレームのカラムの欠損値をモードに設定する	df['列A'].fillna(df['列A'].mode().iloc[0])
ファイルを読み込み用に開いて]、fとする	f = open(filepath, mode='r')
二つのデータフレームを異なる列をキーとして左ジョインする	pd.merge(df, df2, left_on='列A', right_on='列B', how='left')
ある列の値によってデータフレームをグループ化し、要約統計量を求める	df.groupby('列A').describe()
両端キューをリストに変換する	list(deq)
句読点文字を全部使う	string.punctuation
ヒストグラムの色をダークシアグリーンに設定する	plt.hist(データ列, color='darkseagreen')
線グラフの色をライトスレイグレーに変更する	plt.plot(データ列x, データ列y, color='lightslategray')
option: スラッシュを分割記号で使う	sep = '/'
グリッドを実線にする	plt.grid(linestyle='solid')
データフレームの一部のカラムの歪みを求める	df[['列A', '列B']].kurt()
散布図にダイアモンドマーカーを使う	plt.scatter(データ列x, データ列y, marker='D')
option: 配列のデータ型を指定する	dtype = np.int
option: 追加モードに設定する	mode = 'a'
折れ線グラフの色をコーンズシルクに設定する	plt.plot(データ列x, データ列y, color='cornsilk')
茶色色の横棒グラフを描画する	plt.barh(データ列x, データ列y, color='brown')
パールゴールデンロッド色の散布図を描画する	plt.scatter(データ列x, データ列y, color='palegoldenrod')
カラムの尖度	scipy.stats.kurtosis(df['列A'], bias=False)
option: ペールグリーン色を使う	color = 'palegreen'
平均値付き箱髭図を描く	plt.boxplot(データ列, showmeans=True)
両端キューのn番目	deq[n]
データシリーズの中にある日付データの数を数える	ds.isin([value]).sum()
データシリーズが何月か知る	ds.dt.month
列名を指定して二つの表データを右ジョインする	pd.merge(df, df2, on='列A', how='right')
ファイルをEUCで書き込み用にオープンする]	open(filepath, mode='w', encoding='euc_jp')
ヒストグラムの範囲を設定する	plt.hist(データ列, range=(start, end))
折れ線グラフの色をフローラルホワイトに設定する	plt.plot(データ列x, データ列y, color='floralwhite')
集合を空にする	aSet.clear()
実数の小数点以下を丸める	round(x)
nから無限にカウントアップする	itertools.count(start=n)
データフレームを百の位で四捨五入する	df.round(-2)
タプルをインデント幅nのJSON形式の文字列にする	json.dumps(aDict, ensure_ascii=False, indent=n)
ミディアムオーキッド色の散布図を描画する	plt.scatter(データ列x, データ列y, color='mediumorchid')
折れ線グラフをライトグレー色で描画する	plt.plot(データ列x, データ列y, color='lightgrey')
ヒストグラムをスカイブルー色として描画する	plt.hist(データ列, color='skyblue')
縦棒グラフの色をパールバイオレットレッドにする	plt.bar(データ列x, データ列y, color='palevioletred')
横棒グラフの色をナバホホワイトにする	plt.barh(データ列x, データ列y, color='navajowhite')
カウンタのキーとカウントをリストとして得る	aCounter.items()
エポック秒の列からタイムスタンプ型に変換する	pd.to_datetime(df['列A'], unit='s', utc=True)
option: ライム色を使う	color = 'lime'
折れ線グラフの色をスノーに指定する	plt.plot(データ列x, データ列y, color='snow')
option: グラフの種類を一点鎖線に変更する	linestyle = 'dashbot'
データ列をインポートする	import pandas as pd
ヒストグラムを描画して、半透明ににする	plt.hist(データ列x, alpha=0.5)
ファイルパスをSJISで書き込み用にオープンする]	open(filepath, mode='w', encoding='shift_jis')
option: ミディアムターコイズにフォントの色を設定する	color = 'mediumturquoise'
円プロットにラベルを付ける	plt.pie(データ列, startangle=90, labels=ラベル列)
データフレームに重複があるか見る	df.duplicated()
数式を数値計算する	float(e)
グラフの色をパステル調にする	sns.set(pallete='pastel')
文字列の左端から空白を除去する	s.lstrip(' ')
散布図の色をタンにする	plt.scatter(データ列x, データ列y, color='tan')
実数の双曲線余弦の逆数	math.acosh(x)
データフレームの一部のカラムの分散	df[['列A', '列B']].var()
折れ線グラフをパレットトルコイズ色として描画する	plt.plot(データ列x, データ列y, color='paleturquoise')
散布図に黒いバツマーカーを使う	plt.plot(データ列x, データ列y, marker='x', c='k')
文字列を空白によって区切って、整数リストに変換する	map(int, s.split())
横棒グラフをトマト色として描画する	plt.barh(データ列x, データ列y, color='tomato')
散布図に赤い下三角マーカーを使う	plt.plot(データ列x, データ列y, marker='v', c='r')
集合の濃度	len(aSet)
折れ線グラフの大バツ印の線幅を変更する	plt.plot(データ列x, データ列y, marker='X', markeredgewidth=2.5)
折れ線グラフのダイアモンドマーカーの色を変更する	plt.plot(データ列x, データ列y, marker='D', markerfacecolor='#800080')
nまたはn2	n or n2
折れ線グラフの色をカデットブルーに設定する	plt.plot(データ列x, データ列y, color='cadetblue')
データフレームをある列によってソートして、NaNを先頭にする	df.sort_values(by='列A', na_position='first')
青緑色の線グラフを描画する	plt.plot(データ列x, データ列y, color='teal')
