文字列を複数行対応としてパターンで区切る	re.split(pattern, s, flags=re.MULTILINE)
ファイルを書き込みモードでオープンして]、fとする	f = open(filepath, mode='w')
＜オプション＞線種を点線に設定する	linestyle = 'dotted'
パープル色のヒストグラムを描画する	plt.hist(データ列, color='purple')
＜オプション＞ライトサーモン色を使う	color = 'lightsalmon'
横棒グラフを描画して、中央寄せする	plt.barh(ラベル列, データ列, align='center')
データフレームを表示するとき、小数点以下の表示精度をn桁に設定する	pd.set_option('precision', n)
何回まで再帰ができるかを知る	sys.getrecursionlimit()
データフレームを列で昇順に並べ直す	df.sort_values(by=column, ascending=True)
ダークシアン色の線グラフを描画する	plt.plot(データ列, データ列2, color='darkcyan')
折れ線グラフを描画して、その色をライトスレイグレーに設定する	plt.plot(データ列, データ列2, color='lightslategray')
nをn2分の一にする	n /= n2
折れ線グラフを描画して、その色を貝殻に設定する	plt.plot(データ列, データ列2, color='seashell')
ビスク色の線グラフを描画する	plt.plot(データ列, データ列2, color='bisque')
配列の全要素の値を変更する	aArray[:, :] = 指定の値
データフレームの各次元の大きさを見る	df.shape
線グラフを描画してその色をサーモンにする	plt.plot(データ列, データ列2, color='salmon')
＜オプション＞セパレータを改行にする	sep = '\n'
nとn2の商	n / n2
赤い下三角マーカーで散布図を描画する	plt.plot(xdata, ydata, marker='v', c='r')
度数分布図の範囲をセットする	plt.hist(データ列, range=(start, end))
＜オプション＞グラフの色をアクアマリンに設定する	color = 'aquamarine'
xが1、もしくは2、もしくは3に等しいか調べる	x == 1 or x == 2 or x == 3
＜オプション＞ベージュ色を使う	color = 'beige'
青い濃いグラフを描画する	plt.plot(xdata, ydata, linestyle='deep', color='b')
部分集合か調べる	aSet.issubset(aSet2)
リストにリストを追加して拡張する	aList.extend(aList2)
nが一桁の数か調べる	0 <= n <= 9
ヒストグラムを描画して、その色をトマトに設定する	plt.hist(データ列, color='tomato')
データフレームを各列と列の組み合わせ毎にグループ化して平均値を求める	df.groupby([column, column2], as_index=False).mean()
正規表現を使う	import re
Pandasで、データフレームのカラムをインデックスにする	df.set_index(col, inplace=True)
ヒストグラムを描画して、その色をモカシンに設定する	plt.hist(データ列, color='moccasin')
折れ線グラフの色をダークグレーに指定する	plt.plot(データ列, データ列2, color='darkgray')
カウンタの上位を列挙する	aCounter.most_common(k)
明るい色の折れ線グラフを描画して、その線幅をnに設定する	plt.plot(xdata, ydata, linewidth=n, color='bright')
文字列が文字列リストのいづれかどうか確認する	s in aStringList
ファイル名がTSVファイルか調べる	filename.endswith('.tsv')
＜オプション＞ダークカーキ色を使う	color = 'darkkhaki'
折れ線グラフを描画してその色をミディアムスレートブルーに指定する	plt.plot(データ列, データ列2, color='mediumslateblue')
散布図のマーカーの大きさを指定する	plt.scatter(xdata, ydata, s=n)
リストとリストについての散布図に三角マーカーを描画する	plt.plot(xdata, ydata, marker='^')
データフレームの列を文字列にリネームする	df.rename(columns={column: name})
折れ線グラフに黒い下三角マーカーを描画する	plt.plot(データ列, データ列2, marker='v', markerfacecolor='k')
データフレームを二つの列によってソートする	df.sort_values(by=['A', 'B'])
データフレームを関数によって集約して、列挙する	[(name, group) for name, group in df.groupby(関数)]
イテラブルのコンビネーション	itertools.combinations(iterable, n)
集合から全ての要素を取り除く	aSet.clear()
折れ線グラフの色をカラーコードに設定する	plt.plot(xdata, ydata, color=rgb)
ヒストグラムを描画して、その色をライトグリーンに設定する	plt.hist(データ列, color='lightgreen')
グラフで使うカラーパレットをpalleteNameに指定する	sns.set(pallete=palleteName)
データフレームの中で、列に重複があるか見る	df.duplicated(subset=column)
ヒストグラムの色をダークグレーに設定する	plt.hist(データ列, color='darkgray')
ゼロ埋めされた整数型の配列	np.zeros(要素数, dtype=np.int)
ヒストグラムの色をドジャーブルーに設定する	plt.hist(データ列, color='dodgerblue')
折れ線グラフの色を白に設定する	plt.plot(データ列, データ列2, color='white')
カウンタの正の数のみ残す	+aCounter
ヒストグラムを描画して、その色をドジャーブルーに設定する	plt.hist(データ列, color='dodgerblue')
リストとリストについて散布図を描画して右三角マーカーの色をカラーコードに変更する	plt.plot(xdata, ydata, marker='>', c=rgb)
predicateFuncが真となる列の要素	itertools.takewhile(predicateFunc, iterable)
データ列の曜日数	ds.dt.dayofweek
オブジェクトがあるクラスか調べる	isinstance(obj, クラス)
＜オプション＞欠損値を先頭にする	na_position = 'first'
データ列の値が欠損値か調べる	ds.isna()
赤い暗いグラフを描画する	plt.plot(xdata, ydata, linestyle='dark', color='r')
データフレームの列がxの行を抽出する	df[df[column] == x]
ヒストグラムを描画して、その色をスラグレーに設定する	plt.hist(データ列, color='slategrey')
文字列をバイト列にする	s.encode(encoding='utf-8', errors='strict')
イテラブルからひとつランダムに選ぶ	random.choice(iterable)
変数を黒色でプリントできる文字列に変換する	f'\033[30m{value}\033[0m'
文字列の末尾から範囲を指定して部分文字列を探す	s.find(sub, start, end)
スカイブルー色のヒストグラムを描画する	plt.hist(データ列, color='skyblue')
二つの文字列をケースを無視して比較する	s.casefold() < s2.casefold()
文字列の左端を使う	s[0]
折れ線グラフを描画して、その色をコーンフラワーブルーに設定する	plt.plot(データ列, データ列2, color='cornflowerblue')
両端キューに文字列をエンキューする	deq.appendleft(element)
本日が木曜日か調べる	datetime.datetime.today().weekday() == 3
データフレームを'A'列によって昇順にソートして、更新する	df.sort_values(by='A', ascending=True, inplace=True)
八進文字列をバイト列に変換する	int(s, 8).to_bytes(length=bytesize, byteorder='big')
＜オプション＞書き込みモードに設定する	mode = 'w'
＜オプション＞文字列をセパレータで使う	sep = s
